key,tr
"admin.ui.settings.logout","Admin Oturumunu Kapat"
"admin.ui.settings.mailVolume","Mail Hacmi"
"admin.ui.settings.notifSound","Bildirim Sesi"
"admin.ui.settings.opsSummary","Operasyon Özeti"
"admin.ui.settings.pendingRequests","Bekleyen İstek"
"admin.ui.settings.preview","Önizle"
"admin.ui.settings.protectedMailbox","Şifreli Mailbox"
"admin.ui.settings.refreshAll","Tüm Veriyi Yenile"
"admin.ui.settings.selectedSignal","Seçili Sinyal"
"admin.ui.settings.totalUsers","Toplam Kullanıcı"
"admin.ui.users.activate","Aktifleştir"
"admin.ui.users.active","Aktif"
"admin.ui.users.admin","Admin"
"admin.ui.users.adminPackage","Admin Package"
"admin.ui.users.bulkClose","Bulk Kapat"
"admin.ui.users.bulkOff","Kapalı"
"admin.ui.users.bulkOn","Açık"
"admin.ui.users.bulkOpen","Bulk Aç"
"admin.ui.users.colAction","İşlem"
"admin.ui.users.colAddr","Adres"
"admin.ui.users.colBulk","Bulk"
"admin.ui.users.colLastLogin","Son giriş"
"admin.ui.users.colMail","Mail"
"admin.ui.users.colRole","Rol"
"admin.ui.users.colStatus","Durum"
"admin.ui.users.colUser","Kullanıcı"
"admin.ui.users.deactivate","Pasifleştir"
"admin.ui.users.emptySubtitle","Kayıt olan kullanıcılar burada listelenir."
"admin.ui.users.emptyTitle","Kullanıcı bulunamadı"
"admin.ui.users.free","Free"
"admin.ui.users.inactive","Pasif"
"admin.ui.users.pools","{count} havuz"
"admin.ui.users.pro","Pro"
"admin.ui.users.proPlus","Pro+"
"admin.ui.users.title","Kullanıcılar ({count})"
"adminBulk.activate","Aktifleştir"
"adminBulk.activePools","Aktif havuz"
"adminBulk.addressCount","Adet"
"adminBulk.adminGeneration","Yönetici üretimi"
"adminBulk.allStatuses","Tüm durumlar"
"adminBulk.archive","Arşivle"
"adminBulk.eyebrow","ADMIN BULK CONTROL"
"adminBulk.generateFailed","Üretim başarısız"
"adminBulk.generateSuccess","{count} adres üretildi"
"adminBulk.generateWithOverride","Admin override ile üret"
"adminBulk.generating","Üretiliyor…"
"adminBulk.guideActive","Havuz açık, üretim sürebilir"
"adminBulk.guideActiveLabel","active"
"adminBulk.guideArchive","Havuz kapatıldı"
"adminBulk.guideArchiveLabel","archived"
"adminBulk.guideBody","Havuz durumlarını buradan yönetirsiniz."
"adminBulk.guidePause","Üretim duraklatıldı"
"adminBulk.guidePauseLabel","paused"
"adminBulk.guideTitle","Kontrol"
"adminBulk.ownerQuotaNote","Sahip kotası: {count}"
"adminBulk.pause","Duraklat"
"adminBulk.poolOperations","POOLS"
"adminBulk.poolOwner","Havuz sahibi"
"adminBulk.searchPlaceholder","Prefix, sahip veya domain ara"
"adminBulk.selectOwnerPrefixDomain","Sahip, prefix ve domain seçin"
"adminBulk.statusActive","active"
"adminBulk.statusArchived","archived"
"adminBulk.statusPaused","paused"
"adminBulk.subtitle","Kullanıcı adına kota override ile toplu üretim ve havuz durum kontrolü."
"adminBulk.title","Bulk Havuz Yönetimi"
"adminBulk.viewForCsv","CSV görüntüle"
"app.accessOpened","Adres erişimi açıldı"
"app.accountRail","Hesap"
"app.accountSettings","Hesap Ayarları"
"app.addressCreatedPassworded","Şifreli adres oluşturuldu"
"app.addressCreatedReady","Yeni adres hazır"
"app.addressOpened","Adres açıldı"
"app.admin","Admin"
"app.adminPanel","Admin Paneli"
"app.adminRequired","Admin yetkisi gerekiyor"
"app.automationGuestHint","API anahtarlarını ve webhook’ları kayıtlı hesabınızdan yönetebilirsiniz."
"app.automationGuestTitle","Otomasyon için giriş yapın"
"app.automationRail","Otomasyon"
"app.bodyPlaceholder","Mesajınızı yazın"
"app.brandSubtitle","Mamak Studio temporary mail workspace"
"app.bulkAdminRail","Bulk yönetimi"
"app.cancel","İptal"
"app.close","Kapat"
"app.composeBody","İçerik"
"app.composeFrom","Gönderen"
"app.composeSubject","Konu"
"app.composeTitle","Yeni Mail"
"app.composeTo","Alıcı"
"app.continue","Devam Et"
"app.copyFail","Kopyalama başarısız oldu"
"app.copySuccess","Kopyalandı"
"app.deleted","Silindi"
"app.docsRail","Dokümanlar"
"app.domains","Domains"
"app.domainsRail","Domainler"
"app.domainsSubtitle","Şu anda kullanılabilir alan adları aşağıda listeleniyor."
"app.errorOccurred","Bir hata oluştu"
"app.guestContinue","Hesapsız devam et"
"app.guestHint","Admin: admin / admin123"
"app.guestMode","Hesapsız"
"app.guestModeDesc","Giriş yapmadan başla"
"app.inbox","Inbox"
"app.loading","Yükleniyor..."
"app.logout","Çıkış Yap"
"app.mobileNavAria","Mobil menü"
"app.newMailToast","Yeni mail: {sender}"
"app.noActiveDomains","Henüz aktif domain yok."
"app.operationsRail","Operasyonlar"
"app.otpCopied","OTP: {otp}"
"app.otpCopyFail","OTP kopyalanamadı"
"app.passwordLabel","Şifre"
"app.passwordPlaceholder","Şifre"
"app.passwordRequiredSubtitle","{address} şifre korumalı"
"app.passwordRequiredTitle","Şifre Gerekli"
"app.passwordSaved","Şifre ayarlandı"
"app.preparing","{name} hazırlanıyor…"
"app.proFeatureAddresses","Sınırsız adres oluşturma"
"app.proFeatureDomains","Özel domain desteği"
"app.proFeatureMailStorage","5000 mail saklama"
"app.proFeatureRetention","365 gün saklama süresi"
"app.proFeatureWebhooks","Webhook entegrasyonu"
"app.proFeaturesTitle","Pro Paket Özellikleri"
"app.proMessage","Mesaj (opsiyonel)"
"app.proMessagePlaceholder","Neden Pro olmak istiyorsunuz?"
"app.proRequestSubtitle","Admin onayı ile Pro kullanıcı olun"
"app.proRequestTitle","Pro'ya Yükselt"
"app.proRequested","Pro isteği gönderildi"
"app.proUpgrade","Pro'ya Geç"
"app.recipientPlaceholder","alici@ornek.com"
"app.reloadPage","Sayfayı Yenile"
"app.roleAdmin","Admin Kullanıcı"
"app.roleFree","Free Kullanıcı"
"app.rolePro","Pro Kullanıcı"
"app.roleProPlus","Pro+ Kullanıcı"
"app.save","Kaydet"
"app.send","Gönder"
"app.sent","Gönderildi"
"app.setPasswordSubtitle","Sonraki erişimlerde şifre istenecek"
"app.setPasswordTitle","Şifre Belirle"
"app.signIn","Giriş Yap"
"app.signUp","Kayıt Ol"
"app.subjectPlaceholder","Konu"
"app.workspaceAria","Çalışma alanı"
"auth.email","Email"
"auth.freePlan","Free"
"auth.freePlanDesc","Ücretsiz hesap aç"
"auth.guestContinue","Hesapsız devam et"
"auth.guestMode","Hesapsız"
"auth.guestModeDesc","Giriş yapmadan başla"
"auth.login","Giriş Yap"
"auth.password","Şifre"
"auth.proPlan","Pro"
"auth.proPlanDesc","Yükseltilmiş hesap"
"auth.processing","⏳ İşleniyor..."
"auth.register","Kayıt Ol"
"auth.subtitle","Hesapsız kalabilir, ücretsiz hesap açabilir veya Pro'ya yükseltebilirsin."
"auth.title","Geçici e-posta, daha az spam."
"auth.username","Kullanıcı Adı"
"automation.activate","Aç"
"automation.active","aktif"
"automation.addWebhook","Webhook ekle"
"automation.apiKey","API anahtarı"
"automation.copy","Kopyala"
"automation.createKey","Anahtar oluştur"
"automation.deactivate","Kapat"
"automation.events","Olaylar"
"automation.eyebrow","AUTOMATION CENTER"
"automation.hookNamePlaceholder","Production events"
"automation.hookUrlPlaceholder","https://example.com/hooks/mail"
"automation.inactive","pasif"
"automation.keyNamePlaceholder","CUSTOM_TEMPMAIL_TOKEN"
"automation.lastUsed","Son kullanım"
"automation.master","MASTER"
"automation.masterKey","Master key (tüm izinler)"
"automation.name","İsim"
"automation.neverUsed","Hiç kullanılmadı"
"automation.newSecret","Yeni secret — yalnızca bir kez gösterilir"
"automation.noHooks","Henüz webhook yok"
"automation.noKeys","Henüz API anahtarı yok"
"automation.rateLimit","Rate limit (istek/dk)"
"automation.rateUnit","/dk"
"automation.revoke","İptal et"
"automation.scopes","İzinler"
"automation.start","Başlat"
"automation.stop","Durdur"
"automation.subtitle","API anahtarları ve webhook hedefleri ile dış sistemleri bağla."
"automation.title","Otomasyon Merkezi"
"automation.usageCount","{count} istek"
"automation.webhookTarget","Bildirim hedefi"
"bulk.accessDeniedBody","Bulk erişimi Pro/Pro+ paket ve admin yetkisi gerektirir."
"bulk.accessDeniedTitle","Bulk Studio erişimi kapalı"
"bulk.activeRecords","aktif kayıt"
"bulk.addressesReady","{count} adres hazır"
"bulk.adminOverride","admin override"
"bulk.continue","Devam et"
"bulk.continueAction","Devam et"
"bulk.continueFromIndex","Mevcut havuz {index}. indexten devam edecek"
"bulk.copy","Kopyala"
"bulk.copyAll","Tümünü kopyala"
"bulk.createAddresses","Adresleri oluştur"
"bulk.createFailed","Oluşturma başarısız"
"bulk.domainLabel","Domain"
"bulk.downloadTxt","TXT indir"
"bulk.eyebrow","BULK STUDIO"
"bulk.firstAddress","İlk adres"
"bulk.howMany","Kaç adres?"
"bulk.lastAddress","Son adres"
"bulk.livePreview","Canlı önizleme"
"bulk.loadPoolsFailed","Havuzlar alınamadı"
"bulk.newPoolWillCreate","Yeni havuz {count} adres üretecek"
"bulk.newSeries","Yeni adres serisi"
"bulk.noPools","Henüz bir havuz oluşturmadınız."
"bulk.openMails","Mailleri aç"
"bulk.plan","Plan"
"bulk.poolMeta","{count} adres · sonraki #{index}"
"bulk.prefixInvalid","Geçersiz prefix formatı"
"bulk.prefixLabel","Prefix"
"bulk.prefixPlaceholder","ornek"
"bulk.preparing","Bulk Studio hazırlanıyor…"
"bulk.selectDomain","Domain seç"
"bulk.startWith","Prefix ile başla"
"bulk.subtitle","Prefix tabanlı adres havuzları oluştur ve yönet."
"bulk.successTarget","{prefix}_* @{domain}"
"bulk.title","Bulk Studio"
"bulk.yourPools","Havuzların"
"bulkInbox.colRecipient","Alıcı"
"bulkInbox.colSenderSubject","Gönderen / Konu"
"bulkInbox.colTime","Zaman"
"bulkInbox.copyOtp","OTP kopyala"
"bulkInbox.loadFailed","Mailler alınamadı"
"bulkInbox.loadOlder","Daha eski mailler"
"bulkInbox.loading","Yükleniyor…"
"bulkInbox.mailboxCount","{count} mailbox"
"bulkInbox.modalSubtitle","Bulk Inbox · Havuzdaki tüm mailbox'lara gelen mailler ve OTP kodları"
"bulkInbox.noMails","Bu havuza henüz mail gelmedi"
"bulkInbox.noOtpMails","OTP içeren mail yok"
"bulkInbox.noSubject","(Konu yok)"
"bulkInbox.otpCopyFailed","OTP kopyalanamadı"
"bulkInbox.otpOnly","Yalnız OTP"
"bulkInbox.preparing","Bulk Inbox hazırlanıyor…"
"bulkInbox.refresh","Yenile"
"bulkInbox.searchPlaceholder","Alıcı, gönderen veya konu ara"
"bulkInbox.statText","{mails} mail · {otps} OTP"
"bulkInbox.toolbarHint","OTP kodlarına tıklayarak kopyalayın"
"bulkInbox.unknownSender","(bilinmiyor)"
"cmdk.actions","İşlemler"
"cmdk.copyAddress","Adresi kopyala"
"cmdk.domains","Domainler"
"cmdk.empty","Sonuç yok"
"cmdk.navigate","Git"
"cmdk.newAddress","Yeni rastgele adres"
"cmdk.search","Ara veya komut çalıştır…"
"cmdk.themeDark","Koyu tema"
"cmdk.themeLight","Açık tema"
"docs.catApi","API & BOT"
"docs.catBulk","BULK STUDIO"
"docs.catMail","MAIL OPERASYONLARI"
"docs.catServer","SUNUCU & DNS"
"docs.catStart","BAŞLANGIÇ"
"docs.cmdkHint","Global arama için ⌘K"
"docs.codeCopied","Kopyalandı"
"docs.codeCopy","Kopyala"
"docs.codeExample","ÖRNEK KOMUT"
"docs.descApi","CUSTOM_TEMPMAIL_TOKEN ile güvenli, düşük trafikli bot akışı."
"docs.descBulk","Bir prefix ile sıralı, sahipliği belli mailbox havuzu üretin."
"docs.descMail","Mail tesliminden doğrulama koduna uzanan güvenilir akış."
"docs.descServer","Mail kabul eden sunucunun sağlıklı çalışması için operasyon kontrol listesi."
"docs.descStart","Bir mailbox açın, doğrulama kodunu alın ve işi bitirin."
"docs.heroEyebrow","OPERATIONS HANDBOOK"
"docs.heroSignal","Canlı sözleşme"
"docs.heroSignalSub","API key · OTP · realtime"
"docs.heroSubtitle","Mailbox, API ve sunucu operasyonları için uygulama içi rehber."
"docs.heroTitle","İşi yap, yolu ara."
"docs.libraryAria","Doküman konuları"
"docs.noResult","Eşleşen konu bulunamadı."
"docs.noteApi","Standard key yalnız sahibinin mailbox’larına erişir. Admin master key tüm operasyon endpoint’lerine erişir."
"docs.noteBulk","Pro/Pro+ kullanıcıda admin bulk yetkisi gerekir. Admin kota override ile kullanıcı adına üretim yapabilir."
"docs.noteLabel","Operasyon notu"
"docs.noteMail","Mail listesi response envelope içindeki düz array olarak döner; ikinci bir emails objesi yoktur."
"docs.noteServer","Coolify için port 25 doğrudan expose edilir; HTTP/HTTPS ise proxy üzerinden sunulur."
"docs.noteStart","Aynı adres tekrar istenirse sistem hata yerine mevcut mailbox bilgisini döndürür."
"docs.searchPlaceholder","API key, OTP, DNS, Bulk veya endpoint ara"
"docs.sideAutomationBody","Bot trafiğini azaltmak için `wait=25` ve `after_id` kullanın."
"docs.sideAutomationStrong","Long-poll önerilir"
"docs.sideAutomationTitle","OTOMASYON"
"docs.sideDeployBody","Port 25, Docker Compose ve DNS adımları sunucu rehberinde."
"docs.sideDeployStrong","Coolify hazır"
"docs.sideDeployTitle","DEPLOYMENT"
"docs.sideDomainBody","Admin aktif domainlere subdomain ekleyebilir."
"docs.sideDomainStrong","Subdomain destekli"
"docs.sideDomainTitle","DOMAIN"
"docs.stepApi1Body","Otomasyon ekranından gerekli scope’ları seçerek tm_ ile başlayan key üretin."
"docs.stepApi1Title","Key oluşturun"
"docs.stepApi2Body","Tam key yalnız oluşturulduğu anda gösterilir; bot environment değişkenine kaydedin."
"docs.stepApi2Title","Secret’i saklayın"
"docs.stepApi3Body","2.5 sn tam polling yerine wait=25 ile mail gelene kadar bekleyin."
"docs.stepApi3Title","Long-poll kullanın"
"docs.stepApi4Body","after_id ile yalnız yeni mailleri okuyun."
"docs.stepApi4Title","Cursor saklayın"
"docs.stepBulk1Body","Örn. gork seçildiğinde adresler gork_0, gork_1 şeklinde sürer."
"docs.stepBulk1Title","Prefix girin"
"docs.stepBulk2Body","1–100 arası atomik üretim yapılır; çakışmalar atlanır."
"docs.stepBulk2Title","Domain ve adet seçin"
"docs.stepBulk3Body","Bulk Inbox popup’ında tüm alıcılara gelen mail ve OTP’leri tek akışta tarayın."
"docs.stepBulk3Title","Havuzu açın"
"docs.stepBulk4Body","Aynı havuz sonraki boş indexten üretmeye devam eder."
"docs.stepBulk4Title","Devam edin"
"docs.stepMail1Body","Aktif domain ve kayıtlı alıcı doğrulanır; mail ve ekler kalıcı saklanır."
"docs.stepMail1Title","SMTP alır"
"docs.stepMail2Body","BXS-AJ2, ABC-123, IRU-VO0 ve klasik sayı kodları desteklenir."
"docs.stepMail2Title","OTP taranır"
"docs.stepMail3Body","© 2026, tarih/saat, sipariş, takip ve referans numaraları red sinyalidir."
"docs.stepMail3Title","Yanlış adaylar elenir"
"docs.stepMail4Body","Socket.io, SSE ve webhook kanallarına yeni mail/OTP olayı gider."
"docs.stepMail4Title","Olay yayınlanır"
"docs.stepServer1Body","mail.domain.tld sunucu IP’sine, MX kaydı da bu hostname’e yönlenmelidir."
"docs.stepServer1Title","A ve MX kaydı"
"docs.stepServer2Body","SMTP için TCP 25 inbound açık olmalı; Cloudflare proxy kapalı kalmalıdır."
"docs.stepServer2Title","Port 25 erişimi"
"docs.stepServer3Body","SPF, DKIM, DMARC ve PTR teslim edilebilirliği yükseltir."
"docs.stepServer3Title","Güvenlik kayıtları"
"docs.stepServer4Body","Deploy öncesi DB kopyasıyla doğrulama yapın; migrationlar additive çalışır."
"docs.stepServer4Title","Veriyi koruyun"
"docs.stepStart1Body","Aktif domainlerden birini seçin veya adminin eklediği subdomaini kullanın."
"docs.stepStart1Title","Domain seçin"
"docs.stepStart2Body","Tek adres veya Bulk Studio ile prefix tabanlı havuz oluşturun."
"docs.stepStart2Title","Adres oluşturun"
"docs.stepStart3Body","Inbox, SSE veya long-poll üzerinden yeni maili görün."
"docs.stepStart3Title","Maili alın"
"docs.stepStart4Body","Kod subject, text ve HTML bağlamından algılanır; direkt kopyalayın."
"docs.stepStart4Title","OTP’yi kullanın"
"docs.titleApi","API key ile otomasyon"
"docs.titleBulk","Prefix havuzları"
"docs.titleMail","OTP, inbox ve realtime"
"docs.titleServer","SMTP, DNS ve deployment"
"docs.titleStart","Hızlı başlangıç"
"docs.topics","KONULAR"
"domains.noneTitle","Aktif domain yok"
"domains.subdomainSupported","Subdomain destekli"
"emailView.attachments","Ekler ({count})"
"emailView.copied","Kopyalandı"
"emailView.copy","Kopyala"
"emailView.date","Tarih"
"emailView.noContent","İçerik yok"
"emailView.otpCode","Doğrulama Kodu"
"emailView.reply","Yanıtla"
"emailView.selectMail","Bir e-posta seçin"
"emailView.selectMailHint","Lütfen soldaki listeden bir e-posta seçerek içeriğini görüntüleyin."
"emailView.sender","Gönderen"
"emailView.subject","Konu"
"emailView.subtitle","Mesaj içeriği ve ekler"
"emailView.textMode","Metin"
"emailView.title","E-posta Detayı"
"errors.actionFailed","İşlem başarısız"
"errors.addressCreateFailed","Adres oluşturulamadı"
"errors.sessionExpired","Oturum süreniz dolmuş, tekrar giriş yapın"
"errors.wrongPassword","Yanlış şifre"
"inbox.confirmDelete","Bu mail silinsin mi?"
"inbox.copyOtp","OTP kopyala"
"inbox.createAddressFirst","Önce bir adres oluşturun"
"inbox.delete","Sil"
"inbox.filters","Filtreler"
"inbox.footerHint","Yeni e-postalar anında bu listede görüntülenir."
"inbox.footerTitle","E-postalarınız burada görünecek"
"inbox.live","Canlı"
"inbox.mailsWillAppear","Gelen mailler burada görünecek."
"inbox.noMails","Henüz mail yok"
"inbox.noMailsHint","Yeni mesajlar anlık olarak burada görünür."
"inbox.noResults","Sonuç bulunamadı"
"inbox.noSubject","(Konu yok)"
"inbox.otpBadge","Doğrulama"
"inbox.refresh","Yenile"
"inbox.searchPlaceholder","Ara..."
"inbox.subtitle","Anlık mesaj akışı"
"inbox.title","Gelen Kutusu"
"inbox.waiting","Bekliyor"
"inbox.yesterday","Dün"
"nav.admin","Yönetim"
"nav.learn","Kaynaklar"
"nav.mailbox","Posta Kutusu"
"nav.scale","Ölçek"
"accountModal.tabs.addresses","Adresler"
"accountModal.tabsSubtitle.addresses","Etiket ve favoriler"
"accountModal.addressListTitle","Etiket ve Favoriler"
"accountModal.addressListHint","Adreslerine etiket ata, favorilere ekle."
"accountModal.noAddresses","Henüz adres yok."
