key,pt
"admin.ui.users.pools","{count} pools"
"admin.ui.users.pro","Pro"
"admin.ui.users.proPlus","Pro+"
"admin.ui.users.title","Usuários ({count})"
"adminBulk.activate","Ativar"
"adminBulk.activePools","Pools ativos"
"adminBulk.addressCount","Contagem"
"adminBulk.adminGeneration","Geração de administrador"
"adminBulk.allStatuses","Todos os status"
"adminBulk.archive","Arquivar"
"adminBulk.eyebrow","CONTROLE EM MASSA DO ADMIN"
"adminBulk.generateFailed","Falha na geração"
"adminBulk.generateSuccess","{count} endereços gerados"
"adminBulk.generateWithOverride","Gerar com substituição de administrador"
"adminBulk.generating","Gerando..."
"adminBulk.guideActive","Pool aberto, a geração pode continuar"
"adminBulk.guideActiveLabel","ativo"
"adminBulk.guideArchive","Pool fechado"
"adminBulk.guideArchiveLabel","arquivado"
"adminBulk.guideBody","Gerencie os status dos pools aqui."
"adminBulk.guidePause","Geração pausada"
"adminBulk.guidePauseLabel","pausado"
"adminBulk.guideTitle","Controle"
"adminBulk.ownerQuotaNote","Cota do proprietário: {count}"
"adminBulk.pause","Pausar"
"adminBulk.poolOperations","POOLS"
"adminBulk.poolOwner","Proprietário do pool"
"adminBulk.searchPlaceholder","Pesquisar prefixo, proprietário ou domínio"
"adminBulk.selectOwnerPrefixDomain","Selecione proprietário, prefixo e domínio"
"adminBulk.statusActive","ativo"
"adminBulk.statusArchived","arquivado"
"adminBulk.statusPaused","pausado"
"adminBulk.subtitle","Geração em massa com substituição de cota em nome de usuários e controle de status de pool."
"adminBulk.title","Gerenciamento de pools em massa"
"adminBulk.viewForCsv","Ver CSV"
"app.accessOpened","Acesso ao endereço aberto"
"app.accountRail","Conta"
"app.accountSettings","Configurações da conta"
"app.addressCreatedPassworded","Endereço protegido por senha criado"
"app.addressCreatedReady","Novo endereço pronto"
"app.addressOpened","Endereço aberto"
"app.admin","Administrador"
"app.adminPanel","Painel administrativo"
"app.adminRequired","Acesso de administrador obrigatório"
"app.automationGuestHint","Gerencie chaves de API e webhooks a partir da sua conta registrada."
"app.automationGuestTitle","Entre para automação"
"app.automationRail","Automação"
"app.bodyPlaceholder","Escreva sua mensagem"
"app.brandSubtitle","Espaço de trabalho de e-mail temporário Mamak Studio"
"app.bulkAdminRail","Gerenciamento em massa"
"app.cancel","Cancelar"
"app.close","Fechar"
"app.composeBody","Corpo"
"app.composeFrom","De"
"app.composeSubject","Assunto"
"app.composeTitle","Novo e-mail"
"app.composeTo","Para"
"app.continue","Continuar"
"app.copyFail","Falha ao copiar"
"app.copySuccess","Copiado"
"app.deleted","Excluído"
"app.docsRail","Documentação"
"app.domains","Domínios"
"app.domainsRail","Domínios"
"app.domainsSubtitle","Os domínios disponíveis atualmente são listados abaixo."
"app.errorOccurred","Algo deu errado"
"app.guestContinue","Continuar como convidado"
"app.guestHint","Administrador: admin / admin123"
"app.guestMode","Convidado"
"app.guestModeDesc","Comece sem entrar"
"app.inbox","Caixa de entrada"
"app.loading","Carregando..."
"app.logout","Sair"
"app.mobileNavAria","Menu móvel"
"app.newMailToast","Novo e-mail: {sender}"
"app.noActiveDomains","Nenhum domínio ativo ainda."
"app.operationsRail","Operações"
"app.otpCopied","OTP: {otp}"
"app.otpCopyFail","Não foi possível copiar o OTP"
"app.passwordLabel","Senha"
"app.passwordPlaceholder","Senha"
"app.passwordRequiredSubtitle","{address} é protegido por senha"
"app.passwordRequiredTitle","Senha obrigatória"
"app.passwordSaved","Senha salva"
"app.preparing","Preparando {name}..."
"app.proFeatureAddresses","Criação ilimitada de endereços"
"app.proFeatureDomains","Suporte a domínio personalizado"
"app.proFeatureMailStorage","Armazenamento de 5000 e-mails"
"app.proFeatureRetention","Retenção de 365 dias"
"app.proFeatureWebhooks","Integração de webhook"
"app.proFeaturesTitle","Recursos do pacote Pro"
"app.proMessage","Mensagem (opcional)"
"app.proMessagePlaceholder","Por que você quer o Pro?"
"app.proRequestSubtitle","Torne-se um usuário Pro com aprovação do administrador"
"app.proRequestTitle","Atualizar para Pro"
"app.proRequested","Solicitação Pro enviada"
"app.proUpgrade","Virar Pro"
"app.recipientPlaceholder","destinatario@exemplo.com"
"app.reloadPage","Recarregar página"
"app.roleAdmin","Usuário administrador"
"app.roleFree","Usuário gratuito"
"app.rolePro","Usuário Pro"
"app.roleProPlus","Usuário Pro+"
"app.save","Salvar"
"app.send","Enviar"
"app.sent","Enviado"
"app.setPasswordSubtitle","Uma senha será exigida para acessos futuros"
"app.setPasswordTitle","Definir senha"
"app.signIn","Entrar"
"app.signUp","Cadastrar"
"app.subjectPlaceholder","Assunto"
"app.workspaceAria","Espaço de trabalho"
"auth.email","E-mail"
"auth.freePlan","Gratuito"
"auth.freePlanDesc","Crie uma conta gratuita"
"auth.guestContinue","Continuar como convidado"
"auth.guestMode","Convidado"
"auth.guestModeDesc","Comece sem entrar"
"auth.login","Entrar"
"auth.password","Senha"
"auth.proPlan","Pro"
"auth.proPlanDesc","Conta atualizada"
"auth.processing","Processando..."
"auth.register","Cadastrar"
"auth.subtitle","Permaneça como convidado, crie uma conta gratuita ou atualize para Pro."
"auth.title","E-mail temporário, menos spam."
"auth.username","Nome de usuário"
"automation.activate","Ativar"
"automation.active","ativo"
"automation.addWebhook","Adicionar webhook"
"automation.apiKey","Chave de API"
"automation.copy","Copiar"
"automation.createKey","Criar chave"
"automation.deactivate","Desativar"
"automation.events","Eventos"
"automation.eyebrow","CENTRO DE AUTOMAÇÃO"
"automation.hookNamePlaceholder","Eventos de produção"
"automation.hookUrlPlaceholder","https://exemplo.com/hooks/mail"
"automation.inactive","inativo"
"automation.keyNamePlaceholder","CUSTOM_TEMPMAIL_TOKEN"
"automation.lastUsed","Último uso"
"automation.master","MESTRE"
"automation.masterKey","Chave mestra (todos os escopos)"
"automation.name","Nome"
"automation.neverUsed","Nunca usada"
"automation.newSecret","Novo segredo — exibido apenas uma vez"
"automation.noHooks","Nenhum webhook ainda"
"automation.noKeys","Nenhuma chave de API ainda"
"automation.rateLimit","Limite de taxa (req/min)"
"automation.rateUnit","/min"
"automation.revoke","Revogar"
"automation.scopes","Escopos"
"automation.start","Iniciar"
"automation.stop","Parar"
"automation.subtitle","Conecte sistemas externos com chaves de API e destinos de webhook."
"automation.title","Centro de automação"
"automation.usageCount","{count} solicitações"
"automation.webhookTarget","Destino de notificação"
"bulk.accessDeniedBody","O acesso em massa exige pacote Pro/Pro+ e permissão de administrador."
"bulk.accessDeniedTitle","Acesso ao Bulk Studio desativado"
"bulk.activeRecords","registros ativos"
"bulk.addressesReady","{count} endereços prontos"
"bulk.adminOverride","substituição de administrador"
"bulk.continue","Continuar"
"bulk.continueAction","Continuar"
"bulk.continueFromIndex","O pool existente continua a partir do índice {index}"
"bulk.copy","Copiar"
"bulk.copyAll","Copiar tudo"
"bulk.createAddresses","Criar endereços"
"bulk.createFailed","Falha na criação"
"bulk.domainLabel","Domínio"
"bulk.downloadTxt","Baixar TXT"
"bulk.eyebrow","BULK STUDIO"
"bulk.firstAddress","Primeiro endereço"
"bulk.howMany","Quantos endereços?"
"bulk.lastAddress","Último endereço"
"bulk.livePreview","Pré-visualização ao vivo"
"bulk.loadPoolsFailed","Não foi possível carregar os pools"
"bulk.newPoolWillCreate","O novo pool gerará {count} endereços"
"bulk.newSeries","Nova série de endereços"
"bulk.noPools","Você ainda não criou um pool."
"bulk.openMails","Abrir e-mails"
"bulk.plan","Plano"
"bulk.poolMeta","{count} endereços · próximo #{index}"
"bulk.prefixInvalid","Formato de prefixo inválido"
"bulk.prefixLabel","Prefixo"
"bulk.prefixPlaceholder","exemplo"
"bulk.preparing","Preparando o Bulk Studio..."
"bulk.selectDomain","Selecionar domínio"
"bulk.startWith","Começar com um prefixo"
"bulk.subtitle","Crie e gerencie pools de endereços baseados em prefixo."
"bulk.successTarget","{prefix}_* @{domain}"
"bulk.title","Bulk Studio"
"bulk.yourPools","Seus pools"
"bulkInbox.colRecipient","Destinatário"
"bulkInbox.colSenderSubject","Remetente / Assunto"
"bulkInbox.colTime","Hora"
"bulkInbox.copyOtp","Copiar OTP"
"bulkInbox.loadFailed","Não foi possível carregar os e-mails"
"bulkInbox.loadOlder","Carregar e-mails mais antigos"
"bulkInbox.loading","Carregando..."
"bulkInbox.mailboxCount","{count} caixas de correio"
"bulkInbox.modalSubtitle","Caixa de entrada em massa · Todos os e-mails e códigos OTP das caixas do pool"
"bulkInbox.noMails","Nenhum e-mail recebido neste pool ainda"
"bulkInbox.noOtpMails","Nenhum e-mail contendo OTP"
"bulkInbox.noSubject","(Sem assunto)"
"bulkInbox.otpCopyFailed","Não foi possível copiar o OTP"
"bulkInbox.otpOnly","Apenas OTP"
"bulkInbox.preparing","Preparando a caixa de entrada em massa..."
"bulkInbox.refresh","Atualizar"
"bulkInbox.searchPlaceholder","Pesquisar destinatário, remetente ou assunto"
"bulkInbox.statText","{mails} e-mails · {otps} OTPs"
"bulkInbox.toolbarHint","Clique nos códigos OTP para copiar"
"bulkInbox.unknownSender","(desconhecido)"
"cmdk.actions","Ações"
"cmdk.copyAddress","Copiar endereço"
"cmdk.domains","Domínios"
"cmdk.empty","Sem resultados"
"cmdk.navigate","Ir para"
"cmdk.newAddress","Novo endereço aleatório"
"cmdk.search","Pesquisar ou executar um comando..."
"cmdk.themeDark","Tema escuro"
"cmdk.themeLight","Tema claro"
"docs.catApi","API E BOT"
"docs.catBulk","BULK STUDIO"
"docs.catMail","OPERAÇÕES DE E-MAIL"
"docs.catServer","SERVIDOR E DNS"
"docs.catStart","PRIMEIROS PASSOS"
"docs.cmdkHint","⌘K para pesquisa global"
"docs.codeCopied","Copiado"
"docs.codeCopy","Copiar"
"docs.codeExample","COMANDO DE EXEMPLO"
"docs.descApi","Fluxo de bot seguro e de baixo tráfego com CUSTOM_TEMPMAIL_TOKEN."
"docs.descBulk","Gere pools sequenciais de caixas de correio com um prefixo e propriedade clara."
"docs.descMail","Fluxo confiável da entrega do e-mail ao código de verificação."
"docs.descServer","Lista de verificação de operações para manter saudável o servidor que recebe e-mails."
"docs.descStart","Abra uma caixa de correio, obtenha o código de verificação e conclua o trabalho."
"docs.heroEyebrow","MANUAL DE OPERAÇÕES"
"docs.heroSignal","Contrato ao vivo"
"docs.heroSignalSub","Chave de API · OTP · tempo real"
"docs.heroSubtitle","Guia interno para operações de caixa de correio, API e servidor."
"docs.heroTitle","Resolva, consulte."
"docs.libraryAria","Tópicos de documentação"
"docs.noResult","Nenhum tópico correspondente encontrado."
"docs.noteApi","Uma chave padrão acessa apenas as caixas de correio do seu proprietário. A chave mestra de administrador acessa todos os endpoints de operação."
"docs.noteBulk","Usuários Pro/Pro+ precisam de permissão em massa do administrador. Administradores podem gerar em nome de usuários com substituição de cota."
"docs.noteLabel","Nota de operações"
"docs.noteMail","A lista de e-mails retorna como um array simples dentro do envelope de resposta; não há um segundo objeto de e-mails."
"docs.noteServer","No Coolify, a porta 25 é exposta diretamente; HTTP/HTTPS é servido via proxy."
"docs.noteStart","Se o mesmo endereço for solicitado novamente, o sistema retorna as informações existentes da caixa de correio em vez de um erro."
"docs.searchPlaceholder","Pesquisar chave de API, OTP, DNS, Bulk ou endpoint"
"docs.sideAutomationBody","Use `wait=25` e `after_id` para reduzir o tráfego de bot."
"docs.sideAutomationStrong","Long-poll recomendado"
"docs.sideAutomationTitle","AUTOMAÇÃO"
"docs.sideDeployBody","Porta 25, Docker Compose e etapas de DNS estão no guia do servidor."
"docs.sideDeployStrong","Pronto para Coolify"
"docs.sideDeployTitle","IMPLANTAÇÃO"
"docs.sideDomainBody","Administradores podem adicionar subdomínios a domínios ativos."
"docs.sideDomainStrong","Subdomínio suportado"
"docs.sideDomainTitle","DOMÍNIO"
"docs.stepApi1Body","Gere uma chave começando com tm_ selecionando os escopos necessários na tela de automação."
"docs.stepApi1Title","Criar uma chave"
"docs.stepApi2Body","A chave completa é mostrada apenas na criação; salve-a na variável de ambiente do seu bot."
"docs.stepApi2Title","Armazenar o segredo"
"docs.stepApi3Body","Aguarde com wait=25 até o e-mail chegar em vez de fazer polling completo a cada 2,5s."
"docs.stepApi3Title","Usar long-poll"
"docs.stepApi4Body","Leia apenas e-mails novos com after_id."
"docs.stepApi4Title","Manter o cursor"
"docs.stepBulk1Body","Ex.: escolher gork continua os endereços como gork_0, gork_1."
"docs.stepBulk1Title","Inserir um prefixo"
"docs.stepBulk2Body","Geração atômica entre 1 e 100; colisões são ignoradas."
"docs.stepBulk2Title","Escolher domínio e contagem"
"docs.stepBulk3Body","Escaneie e-mails e OTPs de todos os destinatários em um fluxo no pop-up da caixa de entrada em massa."
"docs.stepBulk3Title","Abrir o pool"
"docs.stepBulk4Body","O mesmo pool continua gerando a partir do próximo índice vazio."
"docs.stepBulk4Title","Continuar"
"docs.stepMail1Body","Domínio ativo e destinatário registrado são verificados; e-mail e anexos são armazenados permanentemente."
"docs.stepMail1Title","SMTP recebe"
"docs.stepMail2Body","Códigos BXS-AJ2, ABC-123, IRU-VO0 e numéricos clássicos são suportados."
"docs.stepMail2Title","OTP é escaneado"
"docs.stepMail3Body","© 2026, data/hora, pedido, rastreamento e números de referência são sinais de rejeição."
"docs.stepMail3Title","Falsos candidatos são filtrados"
"docs.stepMail4Body","Novos eventos de e-mail/OTP são enviados para canais Socket.io, SSE e webhook."
"docs.stepMail4Title","Evento é publicado"
"docs.stepServer1Body","mail.domain.tld deve apontar para o IP do servidor e o registro MX para este hostname."
"docs.stepServer1Title","Registros A e MX"
"docs.stepServer2Body","TCP 25 de entrada deve estar aberto para SMTP; o proxy da Cloudflare deve permanecer desativado."
"docs.stepServer2Title","Acesso à porta 25"
"docs.stepServer3Body","SPF, DKIM, DMARC e PTR melhoram a entregabilidade."
"docs.stepServer3Title","Registros de segurança"
"docs.stepServer4Body","Verifique com uma cópia do banco antes de implantar; as migrações são aditivas."
"docs.stepServer4Title","Proteger os dados"
"docs.stepStart1Body","Escolha um dos domínios ativos ou use um subdomínio adicionado pelo administrador."
"docs.stepStart1Title","Escolher um domínio"
"docs.stepStart2Body","Crie um endereço único ou um pool baseado em prefixo com o Bulk Studio."
"docs.stepStart2Title","Criar um endereço"
"docs.stepStart3Body","Veja novos e-mails pela caixa de entrada, SSE ou long-poll."
"docs.stepStart3Title","Receber o e-mail"
"docs.stepStart4Body","O código é detectado do assunto, texto e contexto HTML; copie-o diretamente."
"docs.stepStart4Title","Usar o OTP"
"docs.titleApi","Automação com chave de API"
"docs.titleBulk","Pools de prefixo"
"docs.titleMail","OTP, caixa de entrada e tempo real"
"docs.titleServer","SMTP, DNS e implantação"
"docs.titleStart","Início rápido"
"docs.topics","TÓPICOS"
"domains.noneTitle","Nenhum domínio ativo"
"domains.subdomainSupported","Subdomínio suportado"
"emailView.attachments","Anexos ({count})"
"emailView.copied","Copiado"
"emailView.copy","Copiar"
"emailView.date","Data"
"emailView.noContent","Sem conteúdo"
"emailView.otpCode","Código de verificação"
"emailView.reply","Responder"
"emailView.selectMail","Selecione um e-mail"
"emailView.selectMailHint","Escolha um e-mail na lista à esquerda para ver seu conteúdo."
"emailView.sender","De"
"emailView.subject","Assunto"
"emailView.subtitle","Conteúdo da mensagem e anexos"
"emailView.textMode","Texto"
"emailView.title","Detalhes do e-mail"
"errors.actionFailed","Falha na ação"
"errors.addressCreateFailed","Não foi possível criar o endereço"
"errors.sessionExpired","Sua sessão expirou, entre novamente"
"errors.wrongPassword","Senha incorreta"
"inbox.confirmDelete","Excluir este e-mail?"
"inbox.copyOtp","Copiar OTP"
"inbox.createAddressFirst","Crie um endereço primeiro"
"inbox.delete","Excluir"
"inbox.filters","Filtros"
"inbox.footerHint","Novos e-mails são exibidos nesta lista instantaneamente."
"inbox.footerTitle","Seus e-mails aparecerão aqui"
"inbox.live","Ao vivo"
"inbox.mailsWillAppear","Os e-mails recebidos aparecerão aqui."
"inbox.noMails","Nenhum e-mail ainda"
"inbox.noMailsHint","Novas mensagens aparecem aqui em tempo real."
"inbox.noResults","Nenhum resultado encontrado"
"inbox.noSubject","(Sem assunto)"
"inbox.otpBadge","OTP"
"inbox.refresh","Atualizar"
"inbox.searchPlaceholder","Pesquisar..."
"inbox.subtitle","Fluxo de mensagens ao vivo"
"inbox.title","Caixa de entrada"
"inbox.waiting","Aguardando"
"inbox.yesterday","Ontem"
"nav.admin","Administrador"
"nav.learn","Recursos"
"nav.mailbox","Caixa de correio"
"nav.scale","Escala"
"accountModal.tabs.addresses","Endereços"
"accountModal.tabsSubtitle.addresses","Tags e favoritos"
"accountModal.addressListTitle","Tags & Favoritos"
"accountModal.addressListHint","Marque seus endereços com tags e favoritos."
"accountModal.noAddresses","Ainda não há endereços."
