key,fr
"admin.ui.users.activate","Activer"
"admin.ui.users.active","Actif"
"admin.ui.users.admin","Administrateur"
"admin.ui.users.adminPackage","Forfait administrateur"
"admin.ui.users.bulkClose","Désactiver le mode masse"
"admin.ui.users.bulkOff","Désactivé"
"admin.ui.users.bulkOn","Activé"
"admin.ui.users.bulkOpen","Activer le mode masse"
"admin.ui.users.colAction","Action"
"admin.ui.users.colAddr","Adresses"
"admin.ui.users.colBulk","Masse"
"admin.ui.users.colLastLogin","Dernière connexion"
"admin.ui.users.colMail","Courrier"
"admin.ui.users.colRole","Rôle"
"admin.ui.users.colStatus","Statut"
"admin.ui.users.colUser","Utilisateur"
"admin.ui.users.deactivate","Désactiver"
"admin.ui.users.emptySubtitle","Les utilisateurs enregistrés sont listés ici."
"admin.ui.users.emptyTitle","Aucun utilisateur trouvé"
"admin.ui.users.free","Gratuit"
"admin.ui.users.inactive","Inactif"
"admin.ui.users.pools","{count} pools"
"admin.ui.users.pro","Pro"
"admin.ui.users.proPlus","Pro+"
"admin.ui.users.title","Utilisateurs ({count})"
"adminBulk.activate","Activer"
"adminBulk.activePools","Pools actifs"
"adminBulk.addressCount","Nombre"
"adminBulk.adminGeneration","Génération administrateur"
"adminBulk.allStatuses","Tous les statuts"
"adminBulk.archive","Archiver"
"adminBulk.eyebrow","CONTRÔLE MASSE ADMIN"
"adminBulk.generateFailed","Échec de la génération"
"adminBulk.generateSuccess","{count} adresses générées"
"adminBulk.generateWithOverride","Générer avec remplacement administrateur"
"adminBulk.generating","Génération…"
"adminBulk.guideActive","Pool ouvert, la génération peut continuer"
"adminBulk.guideActiveLabel","actif"
"adminBulk.guideArchive","Pool fermé"
"adminBulk.guideArchiveLabel","archivé"
"adminBulk.guideBody","Gérez les statuts des pools ici."
"adminBulk.guidePause","Génération en pause"
"adminBulk.guidePauseLabel","en pause"
"adminBulk.guideTitle","Contrôle"
"adminBulk.ownerQuotaNote","Quota du propriétaire : {count}"
"adminBulk.pause","Mettre en pause"
"adminBulk.poolOperations","POOLS"
"adminBulk.poolOwner","Propriétaire du pool"
"adminBulk.searchPlaceholder","Rechercher un préfixe, un propriétaire ou un domaine"
"adminBulk.selectOwnerPrefixDomain","Sélectionner le propriétaire, le préfixe et le domaine"
"adminBulk.statusActive","actif"
"adminBulk.statusArchived","archivé"
"adminBulk.statusPaused","en pause"
"adminBulk.subtitle","Génération en masse avec remplacement de quota pour le compte des utilisateurs et contrôle du statut des pools."
"adminBulk.title","Gestion des pools en masse"
"adminBulk.viewForCsv","Voir CSV"
"app.accessOpened","Accès à l'adresse ouvert"
"app.accountRail","Compte"
"app.accountSettings","Paramètres du compte"
"app.addressCreatedPassworded","Adresse protégée par mot de passe créée"
"app.addressCreatedReady","Nouvelle adresse prête"
"app.addressOpened","Adresse ouverte"
"app.admin","Administrateur"
"app.adminPanel","Panneau d'administration"
"app.adminRequired","Accès administrateur requis"
"app.automationGuestHint","Gérez les clés API et les webhooks depuis votre compte enregistré."
"app.automationGuestTitle","Connectez-vous pour l'automatisation"
"app.automationRail","Automatisation"
"app.bodyPlaceholder","Rédigez votre message"
"app.brandSubtitle","Espace de courrier temporaire Mamak Studio"
"app.bulkAdminRail","Gestion en masse"
"app.cancel","Annuler"
"app.close","Fermer"
"app.composeBody","Corps"
"app.composeFrom","De"
"app.composeSubject","Objet"
"app.composeTitle","Nouveau courrier"
"app.composeTo","À"
"app.continue","Continuer"
"app.copyFail","Échec de la copie"
"app.copySuccess","Copié"
"app.deleted","Supprimé"
"app.docsRail","Docs"
"app.domains","Domaines"
"app.domainsRail","Domaines"
"app.domainsSubtitle","Les domaines actuellement disponibles sont listés ci-dessous."
"app.errorOccurred","Une erreur s'est produite"
"app.guestContinue","Continuer en tant qu'invité"
"app.guestHint","Admin : admin / admin123"
"app.guestMode","Invité"
"app.guestModeDesc","Commencer sans se connecter"
"app.inbox","Boîte de réception"
"app.loading","Chargement..."
"app.logout","Se déconnecter"
"app.mobileNavAria","Menu mobile"
"app.newMailToast","Nouveau courrier : {sender}"
"app.noActiveDomains","Aucun domaine actif pour le moment."
"app.operationsRail","Opérations"
"app.otpCopied","OTP : {otp}"
"app.otpCopyFail","L'OTP n'a pas pu être copié"
"app.passwordLabel","Mot de passe"
"app.passwordPlaceholder","Mot de passe"
"app.passwordRequiredSubtitle","{address} est protégée par mot de passe"
"app.passwordRequiredTitle","Mot de passe requis"
"app.passwordSaved","Mot de passe enregistré"
"app.preparing","Préparation de {name}…"
"app.proFeatureAddresses","Création d'adresses illimitée"
"app.proFeatureDomains","Prise en charge de domaine personnalisé"
"app.proFeatureMailStorage","Stockage de 5000 courriers"
"app.proFeatureRetention","Rétention de 365 jours"
"app.proFeatureWebhooks","Intégration Webhook"
"app.proFeaturesTitle","Fonctionnalités du forfait Pro"
"app.proMessage","Message (facultatif)"
"app.proMessagePlaceholder","Pourquoi souhaitez-vous Pro ?"
"app.proRequestSubtitle","Devenez utilisateur Pro avec l'approbation d'un administrateur"
"app.proRequestTitle","Passer à Pro"
"app.proRequested","Demande Pro envoyée"
"app.proUpgrade","Passer à Pro"
"app.recipientPlaceholder","destinataire@exemple.com"
"app.reloadPage","Recharger la page"
"app.roleAdmin","Utilisateur administrateur"
"app.roleFree","Utilisateur gratuit"
"app.rolePro","Utilisateur Pro"
"app.roleProPlus","Utilisateur Pro+"
"app.save","Enregistrer"
"app.send","Envoyer"
"app.sent","Envoyé"
"app.setPasswordSubtitle","Un mot de passe sera requis pour les accès futurs"
"app.setPasswordTitle","Définir un mot de passe"
"app.signIn","Se connecter"
"app.signUp","S'inscrire"
"app.subjectPlaceholder","Objet"
"app.workspaceAria","Espace de travail"
"auth.email","E-mail"
"auth.freePlan","Gratuit"
"auth.freePlanDesc","Créer un compte gratuit"
"auth.guestContinue","Continuer en tant qu'invité"
"auth.guestMode","Invité"
"auth.guestModeDesc","Commencer sans se connecter"
"auth.login","Se connecter"
"auth.password","Mot de passe"
"auth.proPlan","Pro"
"auth.proPlanDesc","Compte amélioré"
"auth.processing","⏳ Traitement..."
"auth.register","S'inscrire"
"auth.subtitle","Restez invité, créez un compte gratuit ou passez à Pro."
"auth.title","E-mail temporaire, moins de spam."
"auth.username","Nom d'utilisateur"
"automation.activate","Activer"
"automation.active","actif"
"automation.addWebhook","Ajouter un webhook"
"automation.apiKey","Clé API"
"automation.copy","Copier"
"automation.createKey","Créer une clé"
"automation.deactivate","Désactiver"
"automation.events","Événements"
"automation.eyebrow","CENTRE D'AUTOMATISATION"
"automation.hookNamePlaceholder","Événements de production"
"automation.hookUrlPlaceholder","https://exemple.com/hooks/mail"
"automation.inactive","inactif"
"automation.keyNamePlaceholder","CUSTOM_TEMPMAIL_TOKEN"
"automation.lastUsed","Dernière utilisation"
"automation.master","MAÎTRE"
"automation.masterKey","Clé maîtresse (tous les portées)"
"automation.name","Nom"
"automation.neverUsed","Jamais utilisé"
"automation.newSecret","Nouveau secret — affiché une seule fois"
"automation.noHooks","Aucun webhook pour le moment"
"automation.noKeys","Aucune clé API pour le moment"
"automation.rateLimit","Limite de débit (req/min)"
"automation.rateUnit","/min"
"automation.revoke","Révoquer"
"automation.scopes","Portées"
"automation.start","Démarrer"
"automation.stop","Arrêter"
"automation.subtitle","Connectez des systèmes externes avec des clés API et des cibles webhook."
"automation.title","Centre d'automatisation"
"automation.usageCount","{count} requêtes"
"automation.webhookTarget","Cible de notification"
"bulk.accessDeniedBody","L'accès en masse nécessite le forfait Pro/Pro+ et l'autorisation administrateur."
"bulk.accessDeniedTitle","Accès au Studio en masse désactivé"
"bulk.activeRecords","enregistrements actifs"
"bulk.addressesReady","{count} adresses prêtes"
"bulk.adminOverride","remplacement administrateur"
"bulk.continue","Continuer"
"bulk.continueAction","Continuer"
"bulk.continueFromIndex","Le pool existant continue à partir de l'index {index}"
"bulk.copy","Copier"
"bulk.copyAll","Tout copier"
"bulk.createAddresses","Créer des adresses"
"bulk.createFailed","Échec de la création"
"bulk.domainLabel","Domaine"
"bulk.downloadTxt","Télécharger TXT"
"bulk.eyebrow","STUDIO EN MASSE"
"bulk.firstAddress","Première adresse"
"bulk.howMany","Combien d'adresses ?"
"bulk.lastAddress","Dernière adresse"
"bulk.livePreview","Aperçu en direct"
"bulk.loadPoolsFailed","Impossible de charger les pools"
"bulk.newPoolWillCreate","Le nouveau pool générera {count} adresses"
"bulk.newSeries","Nouvelle série d'adresses"
"bulk.noPools","Vous n'avez pas encore créé de pool."
"bulk.openMails","Ouvrir les courriers"
"bulk.plan","Forfait"
"bulk.poolMeta","{count} adresses · suivant n°{index}"
"bulk.prefixInvalid","Format de préfixe invalide"
"bulk.prefixLabel","Préfixe"
"bulk.prefixPlaceholder","exemple"
"bulk.preparing","Préparation du Studio en masse…"
"bulk.selectDomain","Sélectionner un domaine"
"bulk.startWith","Commencer par un préfixe"
"bulk.subtitle","Créez et gérez des pools d'adresses basés sur des préfixes."
"bulk.successTarget","{prefix}_* @{domain}"
"bulk.title","Studio en masse"
"bulk.yourPools","Vos pools"
"bulkInbox.colRecipient","Destinataire"
"bulkInbox.colSenderSubject","Expéditeur / Objet"
"bulkInbox.colTime","Heure"
"bulkInbox.copyOtp","Copier l'OTP"
"bulkInbox.loadFailed","Impossible de charger le courrier"
"bulkInbox.loadOlder","Charger le courrier plus ancien"
"bulkInbox.loading","Chargement…"
"bulkInbox.mailboxCount","{count} boîtes de réception"
"bulkInbox.modalSubtitle","Boîte de réception en masse · Tous les courriers et codes OTP dans les boîtes du pool"
"bulkInbox.noMails","Aucun courrier reçu dans ce pool pour le moment"
"bulkInbox.noOtpMails","Aucun courrier contenant un OTP"
"bulkInbox.noSubject","(Aucun objet)"
"bulkInbox.otpCopyFailed","Impossible de copier l'OTP"
"bulkInbox.otpOnly","OTP uniquement"
"bulkInbox.preparing","Préparation de la boîte de réception en masse…"
"bulkInbox.refresh","Actualiser"
"bulkInbox.searchPlaceholder","Rechercher un destinataire, un expéditeur ou un objet"
"bulkInbox.statText","{mails} courriers · {otps} OTP"
"bulkInbox.toolbarHint","Cliquez sur les codes OTP pour les copier"
"bulkInbox.unknownSender","(inconnu)"
"cmdk.actions","Actions"
"cmdk.copyAddress","Copier l'adresse"
"cmdk.domains","Domaines"
"cmdk.empty","Aucun résultat"
"cmdk.navigate","Aller à"
"cmdk.newAddress","Nouvelle adresse aléatoire"
"cmdk.search","Rechercher ou exécuter une commande…"
"cmdk.themeDark","Thème sombre"
"cmdk.themeLight","Thème clair"
"docs.catApi","API ET BOT"
"docs.catBulk","STUDIO EN MASSE"
"docs.catMail","OPÉRATIONS DE COURRIER"
"docs.catServer","SERVEUR ET DNS"
"docs.catStart","DÉBUTER"
"docs.cmdkHint","⌘K pour la recherche globale"
"docs.codeCopied","Copié"
"docs.codeCopy","Copier"
"docs.codeExample","EXEMPLE DE COMMANDE"
"docs.descApi","Flux de bot sécurisé à faible trafic avec CUSTOM_TEMPMAIL_TOKEN."
"docs.descBulk","Générez des pools de boîtes de réception séquentielles avec un préfixe et une propriété claire."
"docs.descMail","Flux fiable de la livraison du courrier au code de vérification."
"docs.descServer","Liste de contrôle des opérations pour maintenir le serveur de courrier en bonne santé."
"docs.descStart","Ouvrez une boîte de réception, obtenez le code de vérification et terminez le travail."
"docs.heroEyebrow","MANUEL DES OPÉRATIONS"
"docs.heroSignal","Contrat en direct"
"docs.heroSignalSub","Clé API · OTP · temps réel"
"docs.heroSubtitle","Guide intégré pour les opérations de boîte de réception, d'API et de serveur."
"docs.heroTitle","Faites-le, consultez-le."
"docs.libraryAria","Sujets de documentation"
"docs.noResult","Aucun sujet correspondant trouvé."
"docs.noteApi","Une clé standard n'accède qu'aux boîtes de réception de son propriétaire. La clé maîtresse administrateur accède à tous les points de terminaison d'opération."
"docs.noteBulk","Les utilisateurs Pro/Pro+ ont besoin de l'autorisation en masse administrateur. Les administrateurs peuvent générer pour le compte des utilisateurs avec remplacement de quota."
"docs.noteLabel","Note d'exploitation"
"docs.noteMail","La liste du courrier est renvoyée sous forme de tableau plat dans l'enveloppe de réponse ; il n'y a pas de second objet emails."
"docs.noteServer","Pour Coolify, le port 25 est exposé directement ; HTTP/HTTPS est servi via proxy."
"docs.noteStart","Si la même adresse est demandée à nouveau, le système renvoie les informations de la boîte de réception existante au lieu d'une erreur."
"docs.searchPlaceholder","Rechercher clé API, OTP, DNS, masse ou point de terminaison"
"docs.sideAutomationBody","Utilisez `wait=25` et `after_id` pour réduire le trafic des bots."
"docs.sideAutomationStrong","Long-poll recommandé"
"docs.sideAutomationTitle","AUTOMATISATION"
"docs.sideDeployBody","Le port 25, Docker Compose et les étapes DNS sont dans le guide serveur."
"docs.sideDeployStrong","Prêt pour Coolify"
"docs.sideDeployTitle","DÉPLOIEMENT"
"docs.sideDomainBody","Les administrateurs peuvent ajouter des sous-domaines aux domaines actifs."
"docs.sideDomainStrong","Sous-domaine pris en charge"
"docs.sideDomainTitle","DOMAINE"
"docs.stepApi1Body","Générez une clé commençant par tm_ en sélectionnant les portées requises depuis l'écran d'automatisation."
"docs.stepApi1Title","Créer une clé"
"docs.stepApi2Body","La clé complète n'est affichée qu'à la création ; enregistrez-la dans la variable d'environnement de votre bot."
"docs.stepApi2Title","Stocker le secret"
"docs.stepApi3Body","Attendez avec wait=25 jusqu'à l'arrivée du courrier au lieu d'un polling complet toutes les 2,5 s."
"docs.stepApi3Title","Utiliser le long-poll"
"docs.stepApi4Body","Lisez uniquement les nouveaux courriers avec after_id."
"docs.stepApi4Title","Conserver le curseur"
"docs.stepBulk1Body","Par ex. choisir gork continue les adresses comme gork_0, gork_1."
"docs.stepBulk1Title","Entrer un préfixe"
"docs.stepBulk2Body","Génération atomique entre 1 et 100 ; les collisions sont ignorées."
"docs.stepBulk2Title","Choisir le domaine et le nombre"
"docs.stepBulk3Body","Parcourez le courrier et les OTP de tous les destinataires dans un flux unique dans la fenêtre de boîte de réception en masse."
"docs.stepBulk3Title","Ouvrir le pool"
"docs.stepBulk4Body","Le même pool continue la génération à partir du prochain index vide."
"docs.stepBulk4Title","Continuer"
"docs.stepMail1Body","Le domaine actif et le destinataire enregistré sont vérifiés ; le courrier et les pièces jointes sont stockés définitivement."
"docs.stepMail1Title","SMTP reçoit"
"docs.stepMail2Body","BXS-AJ2, ABC-123, IRU-VO0 et les codes numériques classiques sont pris en charge."
"docs.stepMail2Title","L'OTP est scanné"
"docs.stepMail3Body","© 2026, date/heure, commande, numéros de suivi et de référence sont des signaux de rejet."
"docs.stepMail3Title","Les faux candidats sont filtrés"
"docs.stepMail4Body","Les nouveaux événements de courrier/OTP sont envoyés aux canaux Socket.io, SSE et webhook."
"docs.stepMail4Title","L'événement est publié"
"docs.stepServer1Body","mail.domaine.tld doit pointer vers l'IP du serveur, et l'enregistrement MX vers ce nom d'hôte."
"docs.stepServer1Title","Enregistrements A et MX"
"docs.stepServer2Body","Le port TCP 25 entrant doit être ouvert pour SMTP ; le proxy Cloudflare doit rester désactivé."
"docs.stepServer2Title","Accès au port 25"
"docs.stepServer3Body","SPF, DKIM, DMARC et PTR améliorent la délivrabilité."
"docs.stepServer3Title","Enregistrements de sécurité"
"docs.stepServer4Body","Vérifiez avec une copie de la base de données avant le déploiement ; les migrations s'exécutent en mode additif."
"docs.stepServer4Title","Protéger les données"
"docs.stepStart1Body","Choisissez l'un des domaines actifs ou utilisez un sous-domaine ajouté par l'administrateur."
"docs.stepStart1Title","Choisir un domaine"
"docs.stepStart2Body","Créez une adresse unique ou un pool basé sur un préfixe avec le Studio en masse."
"docs.stepStart2Title","Créer une adresse"
"docs.stepStart3Body","Voyez le nouveau courrier via la boîte de réception, SSE ou le long-poll."
"docs.stepStart3Title","Recevoir le courrier"
"docs.stepStart4Body","Le code est détecté depuis l'objet, le texte et le contexte HTML ; copiez-le directement."
"docs.stepStart4Title","Utiliser l'OTP"
"docs.titleApi","Automatisation avec clé API"
"docs.titleBulk","Pools de préfixes"
"docs.titleMail","OTP, boîte de réception et temps réel"
"docs.titleServer","SMTP, DNS et déploiement"
"docs.titleStart","Démarrage rapide"
"docs.topics","SUJETS"
"domains.noneTitle","Aucun domaine actif"
"domains.subdomainSupported","Sous-domaine pris en charge"
"emailView.attachments","Pièces jointes ({count})"
"emailView.copied","Copié"
"emailView.copy","Copier"
"emailView.date","Date"
"emailView.noContent","Aucun contenu"
"emailView.otpCode","Code de vérification"
"emailView.reply","Répondre"
"emailView.selectMail","Sélectionner un e-mail"
"emailView.selectMailHint","Choisissez un e-mail dans la liste de gauche pour voir son contenu."
"emailView.sender","De"
"emailView.subject","Objet"
"emailView.subtitle","Contenu du message et pièces jointes"
"emailView.textMode","Texte"
"emailView.title","Détail de l'e-mail"
"errors.actionFailed","Échec de l'action"
"errors.addressCreateFailed","L'adresse n'a pas pu être créée"
"errors.sessionExpired","Votre session a expiré, veuillez vous reconnecter"
"errors.wrongPassword","Mot de passe incorrect"
"inbox.confirmDelete","Supprimer ce courrier ?"
"inbox.copyOtp","Copier l'OTP"
"inbox.createAddressFirst","Créez d'abord une adresse"
"inbox.delete","Supprimer"
"inbox.filters","Filtres"
"inbox.footerHint","Les nouveaux e-mails s'affichent instantanément dans cette liste."
"inbox.footerTitle","Vos e-mails apparaîtront ici"
"inbox.live","En direct"
"inbox.mailsWillAppear","Le courrier entrant apparaîtra ici."
"inbox.noMails","Aucun courrier pour le moment"
"inbox.noMailsHint","Les nouveaux messages apparaissent ici en temps réel."
"inbox.noResults","Aucun résultat trouvé"
"inbox.noSubject","(Aucun objet)"
"inbox.otpBadge","OTP"
"inbox.refresh","Actualiser"
"inbox.searchPlaceholder","Rechercher..."
"inbox.subtitle","Flux de messages en direct"
"inbox.title","Boîte de réception"
"inbox.waiting","En attente"
"inbox.yesterday","Hier"
"nav.admin","Administrateur"
"nav.learn","Ressources"
"nav.mailbox","Boîte de réception"
"nav.scale","Échelle"
"accountModal.tabs.addresses","Adresses"
"accountModal.tabsSubtitle.addresses","Étiquettes et favoris"
"accountModal.addressListTitle","Étiquettes & Favoris"
"accountModal.addressListHint","Étiquetez vos adresses et marquez les favoris."
"accountModal.noAddresses","Aucune adresse pour le moment."
