key,en
"app.proMessagePlaceholder","Why do you want Pro?"
"app.proRequestSubtitle","Become a Pro user with admin approval"
"app.proRequestTitle","Upgrade to Pro"
"app.proRequested","Pro request sent"
"app.proUpgrade","Go Pro"
"app.recipientPlaceholder","recipient@example.com"
"app.reloadPage","Reload Page"
"app.roleAdmin","Admin User"
"app.roleFree","Free User"
"app.rolePro","Pro User"
"app.roleProPlus","Pro+ User"
"app.save","Save"
"app.send","Send"
"app.sent","Sent"
"app.setPasswordSubtitle","A password will be required for future access"
"app.setPasswordTitle","Set Password"
"app.signIn","Sign In"
"app.signUp","Sign Up"
"app.subjectPlaceholder","Subject"
"app.workspaceAria","Workspace"
"auth.email","Email"
"auth.freePlan","Free"
"auth.freePlanDesc","Create a free account"
"auth.guestContinue","Continue as guest"
"auth.guestMode","Guest"
"auth.guestModeDesc","Start without signing in"
"auth.login","Sign In"
"auth.password","Password"
"auth.proPlan","Pro"
"auth.proPlanDesc","Upgraded account"
"auth.processing","⏳ Processing..."
"auth.register","Sign Up"
"auth.subtitle","Stay guest, create a free account or upgrade to Pro."
"auth.title","Temporary email, less spam."
"auth.username","Username"
"automation.activate","Enable"
"automation.active","active"
"automation.addWebhook","Add webhook"
"automation.apiKey","API key"
"automation.copy","Copy"
"automation.createKey","Create key"
"automation.deactivate","Disable"
"automation.events","Events"
"automation.eyebrow","AUTOMATION CENTER"
"automation.hookNamePlaceholder","Production events"
"automation.hookUrlPlaceholder","https://example.com/hooks/mail"
"automation.inactive","inactive"
"automation.keyNamePlaceholder","CUSTOM_TEMPMAIL_TOKEN"
"automation.lastUsed","Last used"
"automation.master","MASTER"
"automation.masterKey","Master key (all scopes)"
"automation.name","Name"
"automation.neverUsed","Never used"
"automation.newSecret","New secret — shown only once"
"automation.noHooks","No webhooks yet"
"automation.noKeys","No API keys yet"
"automation.rateLimit","Rate limit (req/min)"
"automation.rateUnit","/min"
"automation.revoke","Revoke"
"automation.scopes","Scopes"
"automation.start","Start"
"automation.stop","Stop"
"automation.subtitle","Connect external systems with API keys and webhook targets."
"automation.title","Automation Center"
"automation.usageCount","{count} requests"
"automation.webhookTarget","Notification target"
"bulk.accessDeniedBody","Bulk access requires Pro/Pro+ package and admin permission."
"bulk.accessDeniedTitle","Bulk Studio access disabled"
"bulk.activeRecords","active records"
"bulk.addressesReady","{count} addresses ready"
"bulk.adminOverride","admin override"
"bulk.continue","Continue"
"bulk.continueAction","Continue"
"bulk.continueFromIndex","Existing pool continues from index {index}"
"bulk.copy","Copy"
"bulk.copyAll","Copy all"
"bulk.createAddresses","Create addresses"
"bulk.createFailed","Creation failed"
"bulk.domainLabel","Domain"
"bulk.downloadTxt","Download TXT"
"bulk.eyebrow","BULK STUDIO"
"bulk.firstAddress","First address"
"bulk.howMany","How many addresses?"
"bulk.lastAddress","Last address"
"bulk.livePreview","Live preview"
"bulk.loadPoolsFailed","Could not load pools"
"bulk.newPoolWillCreate","New pool will generate {count} addresses"
"bulk.newSeries","New address series"
"bulk.noPools","You have not created a pool yet."
"bulk.openMails","Open mails"
"bulk.plan","Plan"
"bulk.poolMeta","{count} addresses · next #{index}"
"bulk.prefixInvalid","Invalid prefix format"
"bulk.prefixLabel","Prefix"
"bulk.prefixPlaceholder","example"
"bulk.preparing","Preparing Bulk Studio…"
"bulk.selectDomain","Select domain"
"bulk.startWith","Start with a prefix"
"bulk.subtitle","Create and manage prefix-based address pools."
"bulk.successTarget","{prefix}_* @{domain}"
"bulk.title","Bulk Studio"
"bulk.yourPools","Your pools"
"bulkInbox.colRecipient","Recipient"
"bulkInbox.colSenderSubject","Sender / Subject"
"bulkInbox.colTime","Time"
"bulkInbox.copyOtp","Copy OTP"
"bulkInbox.loadFailed","Could not load mail"
"bulkInbox.loadOlder","Load older mail"
"bulkInbox.loading","Loading…"
"bulkInbox.mailboxCount","{count} mailboxes"
"bulkInbox.modalSubtitle","Bulk Inbox · All mail and OTP codes across pool mailboxes"
"bulkInbox.noMails","No mail received in this pool yet"
"bulkInbox.noOtpMails","No mail containing OTP"
"bulkInbox.noSubject","(No subject)"
"bulkInbox.otpCopyFailed","Could not copy OTP"
"bulkInbox.otpOnly","OTP only"
"bulkInbox.preparing","Preparing Bulk Inbox…"
"bulkInbox.refresh","Refresh"
"bulkInbox.searchPlaceholder","Search recipient, sender or subject"
"bulkInbox.statText","{mails} mails · {otps} OTPs"
"bulkInbox.toolbarHint","Click OTP codes to copy"
"bulkInbox.unknownSender","(unknown)"
"cmdk.actions","Actions"
"cmdk.copyAddress","Copy address"
"cmdk.domains","Domains"
"cmdk.empty","No results"
"cmdk.navigate","Go to"
"cmdk.newAddress","New random address"
"cmdk.search","Search or run a command…"
"cmdk.themeDark","Dark theme"
"cmdk.themeLight","Light theme"
"docs.catApi","API & BOT"
"docs.catBulk","BULK STUDIO"
"docs.catMail","MAIL OPERATIONS"
"docs.catServer","SERVER & DNS"
"docs.catStart","GETTING STARTED"
"docs.cmdkHint","⌘K for global search"
"docs.codeCopied","Copied"
"docs.codeCopy","Copy"
"docs.codeExample","EXAMPLE COMMAND"
"docs.descApi","Secure, low-traffic bot flow with CUSTOM_TEMPMAIL_TOKEN."
"docs.descBulk","Generate sequential mailbox pools with a prefix and clear ownership."
"docs.descMail","Reliable flow from mail delivery to verification code."
"docs.descServer","Operations checklist for keeping the mail-accepting server healthy."
"docs.descStart","Open a mailbox, get the verification code, and finish the job."
"docs.heroEyebrow","OPERATIONS HANDBOOK"
"docs.heroSignal","Live contract"
"docs.heroSignalSub","API key · OTP · realtime"
"docs.heroSubtitle","In-app guide for mailbox, API and server operations."
"docs.heroTitle","Get it done, look it up."
"docs.libraryAria","Documentation topics"
"docs.noResult","No matching topic found."
"docs.noteApi","A standard key only accesses its owner's mailboxes. The admin master key accesses all operation endpoints."
"docs.noteBulk","Pro/Pro+ users need admin bulk permission. Admins can generate on behalf of users with quota override."
"docs.noteLabel","Operations note"
"docs.noteMail","The mail list returns as a flat array inside the response envelope; there is no second emails object."
"docs.noteServer","For Coolify, port 25 is exposed directly; HTTP/HTTPS is served via proxy."
"docs.noteStart","If the same address is requested again, the system returns the existing mailbox info instead of an error."
"docs.searchPlaceholder","Search API key, OTP, DNS, Bulk or endpoint"
"docs.sideAutomationBody","Use `wait=25` and `after_id` to reduce bot traffic."
"docs.sideAutomationStrong","Long-poll recommended"
"docs.sideAutomationTitle","AUTOMATION"
"docs.sideDeployBody","Port 25, Docker Compose and DNS steps are in the server guide."
"docs.sideDeployStrong","Coolify ready"
"docs.sideDeployTitle","DEPLOYMENT"
"docs.sideDomainBody","Admins can add subdomains to active domains."
"docs.sideDomainStrong","Subdomain supported"
"docs.sideDomainTitle","DOMAIN"
"docs.stepApi1Body","Generate a key starting with tm_ by selecting the required scopes from the automation screen."
"docs.stepApi1Title","Create a key"
"docs.stepApi2Body","The full key is shown only at creation; save it to your bot environment variable."
"docs.stepApi2Title","Store the secret"
"docs.stepApi3Body","Wait with wait=25 until mail arrives instead of full polling every 2.5s."
"docs.stepApi3Title","Use long-poll"
"docs.stepApi4Body","Read only new mails with after_id."
"docs.stepApi4Title","Keep the cursor"
"docs.stepBulk1Body","E.g. choosing gork continues addresses as gork_0, gork_1."
"docs.stepBulk1Title","Enter a prefix"
"docs.stepBulk2Body","Atomic generation between 1–100; collisions are skipped."
"docs.stepBulk2Title","Choose domain and count"
"docs.stepBulk3Body","Scan mail and OTPs across all recipients in one stream in the Bulk Inbox popup."
"docs.stepBulk3Title","Open the pool"
"docs.stepBulk4Body","The same pool continues generating from the next empty index."
"docs.stepBulk4Title","Continue"
"docs.stepMail1Body","Active domain and registered recipient are verified; mail and attachments are stored permanently."
"docs.stepMail1Title","SMTP receives"
"docs.stepMail2Body","BXS-AJ2, ABC-123, IRU-VO0 and classic numeric codes are supported."
"docs.stepMail2Title","OTP is scanned"
"docs.stepMail3Body","© 2026, date/time, order, tracking and reference numbers are rejection signals."
"docs.stepMail3Title","False candidates are filtered"
"docs.stepMail4Body","New mail/OTP events are sent to Socket.io, SSE and webhook channels."
"docs.stepMail4Title","Event is published"
"docs.stepServer1Body","mail.domain.tld should point to the server IP, and the MX record to this hostname."
"docs.stepServer1Title","A and MX records"
"docs.stepServer2Body","TCP 25 inbound must be open for SMTP; Cloudflare proxy must stay off."
"docs.stepServer2Title","Port 25 access"
"docs.stepServer3Body","SPF, DKIM, DMARC and PTR improve deliverability."
"docs.stepServer3Title","Security records"
"docs.stepServer4Body","Verify with a DB copy before deploy; migrations run additive."
"docs.stepServer4Title","Protect the data"
"docs.stepStart1Body","Pick one of the active domains or use a subdomain added by the admin."
"docs.stepStart1Title","Choose a domain"
"docs.stepStart2Body","Create a single address or a prefix-based pool with Bulk Studio."
"docs.stepStart2Title","Create an address"
"docs.stepStart3Body","See new mail via Inbox, SSE or long-poll."
"docs.stepStart3Title","Receive the mail"
"docs.stepStart4Body","The code is detected from subject, text and HTML context; copy it directly."
"docs.stepStart4Title","Use the OTP"
"docs.titleApi","Automation with API key"
"docs.titleBulk","Prefix pools"
"docs.titleMail","OTP, inbox and realtime"
"docs.titleServer","SMTP, DNS and deployment"
"docs.titleStart","Quick start"
"docs.topics","TOPICS"
"domains.noneTitle","No active domains"
"domains.subdomainSupported","Subdomain supported"
"emailView.attachments","Attachments ({count})"
"emailView.copied","Copied"
"emailView.copy","Copy"
"emailView.date","Date"
"emailView.noContent","No content"
"emailView.otpCode","Verification Code"
"emailView.reply","Reply"
"emailView.selectMail","Select an email"
"emailView.selectMailHint","Pick an email from the list on the left to view its content."
"emailView.sender","From"
"emailView.subject","Subject"
"emailView.subtitle","Message content and attachments"
"emailView.textMode","Text"
"emailView.title","Email Detail"
"errors.actionFailed","Action failed"
"errors.addressCreateFailed","Address could not be created"
"errors.sessionExpired","Your session has expired, please sign in again"
"errors.wrongPassword","Wrong password"
"inbox.confirmDelete","Delete this mail?"
"inbox.copyOtp","Copy OTP"
"inbox.createAddressFirst","Create an address first"
"inbox.delete","Delete"
"inbox.filters","Filters"
"inbox.footerHint","New emails are displayed in this list instantly."
"inbox.footerTitle","Your emails will appear here"
"inbox.live","Live"
"inbox.mailsWillAppear","Incoming mail will show up here."
"inbox.noMails","No mail yet"
"inbox.noMailsHint","New messages appear here in real time."
"inbox.noResults","No results found"
"inbox.noSubject","(No subject)"
"inbox.otpBadge","OTP"
"inbox.refresh","Refresh"
"inbox.searchPlaceholder","Search..."
"inbox.subtitle","Live message stream"
"inbox.title","Inbox"
"inbox.waiting","Waiting"
"inbox.yesterday","Yesterday"
"nav.admin","Admin"
"nav.learn","Resources"
"nav.mailbox","Mailbox"
"nav.scale","Scale"
