key,es
"admin.ui.users.emptySubtitle","Los usuarios registrados se listan aquí."
"admin.ui.users.emptyTitle","No se encontraron usuarios"
"admin.ui.users.free","Gratis"
"admin.ui.users.inactive","Inactivo"
"admin.ui.users.pools","{count} grupos"
"admin.ui.users.pro","Pro"
"admin.ui.users.proPlus","Pro+"
"admin.ui.users.title","Usuarios ({count})"
"adminBulk.activate","Activar"
"adminBulk.activePools","Grupos activos"
"adminBulk.addressCount","Cantidad"
"adminBulk.adminGeneration","Generación de administrador"
"adminBulk.allStatuses","Todos los estados"
"adminBulk.archive","Archivar"
"adminBulk.eyebrow","CONTROL MASIVO DE ADMINISTRADOR"
"adminBulk.generateFailed","Generación fallida"
"adminBulk.generateSuccess","{count} direcciones generadas"
"adminBulk.generateWithOverride","Generar con anulación de administrador"
"adminBulk.generating","Generando…"
"adminBulk.guideActive","Grupo abierto, la generación puede continuar"
"adminBulk.guideActiveLabel","activo"
"adminBulk.guideArchive","Grupo cerrado"
"adminBulk.guideArchiveLabel","archivado"
"adminBulk.guideBody","Gestiona los estados de los grupos aquí."
"adminBulk.guidePause","Generación en pausa"
"adminBulk.guidePauseLabel","en pausa"
"adminBulk.guideTitle","Control"
"adminBulk.ownerQuotaNote","Cuota del propietario: {count}"
"adminBulk.pause","Pausar"
"adminBulk.poolOperations","GRUPOS"
"adminBulk.poolOwner","Propietario del grupo"
"adminBulk.searchPlaceholder","Buscar prefijo, propietario o dominio"
"adminBulk.selectOwnerPrefixDomain","Selecciona propietario, prefijo y dominio"
"adminBulk.statusActive","activo"
"adminBulk.statusArchived","archivado"
"adminBulk.statusPaused","en pausa"
"adminBulk.subtitle","Generación masiva con anulación de cuota en nombre de usuarios y control de estado de grupos."
"adminBulk.title","Gestión de grupos masivos"
"adminBulk.viewForCsv","Ver CSV"
"app.accessOpened","Acceso a dirección abierto"
"app.accountRail","Cuenta"
"app.accountSettings","Ajustes de cuenta"
"app.addressCreatedPassworded","Dirección protegida con contraseña creada"
"app.addressCreatedReady","Nueva dirección lista"
"app.addressOpened","Dirección abierta"
"app.admin","Administrador"
"app.adminPanel","Panel de administrador"
"app.adminRequired","Se requiere acceso de administrador"
"app.automationGuestHint","Gestiona claves API y webhooks desde tu cuenta registrada."
"app.automationGuestTitle","Inicia sesión para automatización"
"app.automationRail","Automatización"
"app.bodyPlaceholder","Escribe tu mensaje"
"app.brandSubtitle","Espacio de trabajo de correo temporal de Mamak Studio"
"app.bulkAdminRail","Gestión masiva"
"app.cancel","Cancelar"
"app.close","Cerrar"
"app.composeBody","Cuerpo"
"app.composeFrom","De"
"app.composeSubject","Asunto"
"app.composeTitle","Correo nuevo"
"app.composeTo","Para"
"app.continue","Continuar"
"app.copyFail","Copia fallida"
"app.copySuccess","Copiado"
"app.deleted","Eliminado"
"app.docsRail","Documentación"
"app.domains","Dominios"
"app.domainsRail","Dominios"
"app.domainsSubtitle","Los dominios disponibles actualmente se listan abajo."
"app.errorOccurred","Algo salió mal"
"app.guestContinue","Continuar como invitado"
"app.guestHint","Admin: admin / admin123"
"app.guestMode","Invitado"
"app.guestModeDesc","Empezar sin iniciar sesión"
"app.inbox","Bandeja"
"app.loading","Cargando..."
"app.logout","Cerrar sesión"
"app.mobileNavAria","Menú móvil"
"app.newMailToast","Correo nuevo: {sender}"
"app.noActiveDomains","Aún no hay dominios activos."
"app.operationsRail","Operaciones"
"app.otpCopied","OTP: {otp}"
"app.otpCopyFail","No se pudo copiar el OTP"
"app.passwordLabel","Contraseña"
"app.passwordPlaceholder","Contraseña"
"app.passwordRequiredSubtitle","{address} está protegida con contraseña"
"app.passwordRequiredTitle","Contraseña requerida"
"app.passwordSaved","Contraseña guardada"
"app.preparing","Preparando {name}…"
"app.proFeatureAddresses","Creación ilimitada de direcciones"
"app.proFeatureDomains","Soporte de dominio personalizado"
"app.proFeatureMailStorage","5000 correos almacenados"
"app.proFeatureRetention","Retención de 365 días"
"app.proFeatureWebhooks","Integración de webhooks"
"app.proFeaturesTitle","Funciones del paquete Pro"
"app.proMessage","Mensaje (opcional)"
"app.proMessagePlaceholder","¿Por qué quieres Pro?"
"app.proRequestSubtitle","Conviértete en usuario Pro con aprobación de administrador"
"app.proRequestTitle","Mejorar a Pro"
"app.proRequested","Solicitud Pro enviada"
"app.proUpgrade","Pasar a Pro"
"app.recipientPlaceholder","destinatario@ejemplo.com"
"app.reloadPage","Recargar página"
"app.roleAdmin","Usuario administrador"
"app.roleFree","Usuario gratuito"
"app.rolePro","Usuario Pro"
"app.roleProPlus","Usuario Pro+"
"app.save","Guardar"
"app.send","Enviar"
"app.sent","Enviado"
"app.setPasswordSubtitle","Se requerirá una contraseña para accesos futuros"
"app.setPasswordTitle","Establecer contraseña"
"app.signIn","Iniciar sesión"
"app.signUp","Registrarse"
"app.subjectPlaceholder","Asunto"
"app.workspaceAria","Espacio de trabajo"
"auth.email","Correo"
"auth.freePlan","Gratis"
"auth.freePlanDesc","Crea una cuenta gratuita"
"auth.guestContinue","Continuar como invitado"
"auth.guestMode","Invitado"
"auth.guestModeDesc","Empezar sin iniciar sesión"
"auth.login","Iniciar sesión"
"auth.password","Contraseña"
"auth.proPlan","Pro"
"auth.proPlanDesc","Cuenta mejorada"
"auth.processing","⏳ Procesando..."
"auth.register","Registrarse"
"auth.subtitle","Permanece como invitado, crea una cuenta gratuita o mejora a Pro."
"auth.title","Correo temporal, menos spam."
"auth.username","Nombre de usuario"
"automation.activate","Activar"
"automation.active","activo"
"automation.addWebhook","Añadir webhook"
"automation.apiKey","Clave API"
"automation.copy","Copiar"
"automation.createKey","Crear clave"
"automation.deactivate","Desactivar"
"automation.events","Eventos"
"automation.eyebrow","CENTRO DE AUTOMATIZACIÓN"
"automation.hookNamePlaceholder","Eventos de producción"
"automation.hookUrlPlaceholder","https://example.com/hooks/mail"
"automation.inactive","inactivo"
"automation.keyNamePlaceholder","CUSTOM_TEMPMAIL_TOKEN"
"automation.lastUsed","Último uso"
"automation.master","MAESTRO"
"automation.masterKey","Clave maestra (todos los ámbitos)"
"automation.name","Nombre"
"automation.neverUsed","Nunca usado"
"automation.newSecret","Secreto nuevo — solo se muestra una vez"
"automation.noHooks","Aún no hay webhooks"
"automation.noKeys","Aún no hay claves API"
"automation.rateLimit","Límite de tasa (req/min)"
"automation.rateUnit","/min"
"automation.revoke","Revocar"
"automation.scopes","Ámbitos"
"automation.start","Iniciar"
"automation.stop","Detener"
"automation.subtitle","Conecta sistemas externos con claves API y destinos de webhook."
"automation.title","Centro de automatización"
"automation.usageCount","{count} solicitudes"
"automation.webhookTarget","Destino de notificación"
"bulk.accessDeniedBody","El acceso masivo requiere paquete Pro/Pro+ y permiso de administrador."
"bulk.accessDeniedTitle","Acceso a Bulk Studio desactivado"
"bulk.activeRecords","registros activos"
"bulk.addressesReady","{count} direcciones listas"
"bulk.adminOverride","anulación de administrador"
"bulk.continue","Continuar"
"bulk.continueAction","Continuar"
"bulk.continueFromIndex","El grupo existente continúa desde el índice {index}"
"bulk.copy","Copiar"
"bulk.copyAll","Copiar todo"
"bulk.createAddresses","Crear direcciones"
"bulk.createFailed","Creación fallida"
"bulk.domainLabel","Dominio"
"bulk.downloadTxt","Descargar TXT"
"bulk.eyebrow","BULK STUDIO"
"bulk.firstAddress","Primera dirección"
"bulk.howMany","¿Cuántas direcciones?"
"bulk.lastAddress","Última dirección"
"bulk.livePreview","Vista previa en vivo"
"bulk.loadPoolsFailed","No se pudieron cargar los grupos"
"bulk.newPoolWillCreate","El grupo nuevo generará {count} direcciones"
"bulk.newSeries","Serie de direcciones nueva"
"bulk.noPools","Aún no has creado un grupo."
"bulk.openMails","Abrir correos"
"bulk.plan","Plan"
"bulk.poolMeta","{count} direcciones · siguiente #{index}"
"bulk.prefixInvalid","Formato de prefijo no válido"
"bulk.prefixLabel","Prefijo"
"bulk.prefixPlaceholder","ejemplo"
"bulk.preparing","Preparando Bulk Studio…"
"bulk.selectDomain","Seleccionar dominio"
"bulk.startWith","Empezar con un prefijo"
"bulk.subtitle","Crea y gestiona grupos de direcciones basados en prefijos."
"bulk.successTarget","{prefix}_* @{domain}"
"bulk.title","Bulk Studio"
"bulk.yourPools","Tus grupos"
"bulkInbox.colRecipient","Destinatario"
"bulkInbox.colSenderSubject","Remitente / Asunto"
"bulkInbox.colTime","Hora"
"bulkInbox.copyOtp","Copiar OTP"
"bulkInbox.loadFailed","No se pudo cargar el correo"
"bulkInbox.loadOlder","Cargar correo anterior"
"bulkInbox.loading","Cargando…"
"bulkInbox.mailboxCount","{count} buzones"
"bulkInbox.modalSubtitle","Bandeja masiva · Todo el correo y códigos OTP de los buzones del grupo"
"bulkInbox.noMails","Aún no se ha recibido correo en este grupo"
"bulkInbox.noOtpMails","No hay correo que contenga OTP"
"bulkInbox.noSubject","(Sin asunto)"
"bulkInbox.otpCopyFailed","No se pudo copiar el OTP"
"bulkInbox.otpOnly","Solo OTP"
"bulkInbox.preparing","Preparando bandeja masiva…"
"bulkInbox.refresh","Actualizar"
"bulkInbox.searchPlaceholder","Buscar destinatario, remitente o asunto"
"bulkInbox.statText","{mails} correos · {otps} OTP"
"bulkInbox.toolbarHint","Haz clic en los códigos OTP para copiar"
"bulkInbox.unknownSender","(desconocido)"
"cmdk.actions","Acciones"
"cmdk.copyAddress","Copiar dirección"
"cmdk.domains","Dominios"
"cmdk.empty","Sin resultados"
"cmdk.navigate","Ir a"
"cmdk.newAddress","Dirección aleatoria nueva"
"cmdk.search","Buscar o ejecutar un comando…"
"cmdk.themeDark","Tema oscuro"
"cmdk.themeLight","Tema claro"
"docs.catApi","API Y BOT"
"docs.catBulk","BULK STUDIO"
"docs.catMail","OPERACIONES DE CORREO"
"docs.catServer","SERVIDOR Y DNS"
"docs.catStart","PRIMEROS PASOS"
"docs.cmdkHint","⌘K para búsqueda global"
"docs.codeCopied","Copiado"
"docs.codeCopy","Copiar"
"docs.codeExample","COMANDO DE EJEMPLO"
"docs.descApi","Flujo de bot seguro y de bajo tráfico con CUSTOM_TEMPMAIL_TOKEN."
"docs.descBulk","Genera grupos de buzones secuenciales con un prefijo y propiedad clara."
"docs.descMail","Flujo fiable desde la entrega del correo hasta el código de verificación."
"docs.descServer","Lista de verificación de operaciones para mantener sano el servidor de correo."
"docs.descStart","Abre un buzón, obtén el código de verificación y termina el trabajo."
"docs.heroEyebrow","MANUAL DE OPERACIONES"
"docs.heroSignal","Contrato en vivo"
"docs.heroSignalSub","Clave API · OTP · tiempo real"
"docs.heroSubtitle","Guía interna para operaciones de buzón, API y servidor."
"docs.heroTitle","Hazlo, consúltalo."
"docs.libraryAria","Temas de documentación"
"docs.noResult","No se encontró ningún tema coincidente."
"docs.noteApi","Una clave estándar solo accede a los buzones de su propietario. La clave maestra de administrador accede a todos los endpoints de operación."
"docs.noteBulk","Los usuarios Pro/Pro+ necesitan permiso masivo de administrador. Los administradores pueden generar en nombre de usuarios con anulación de cuota."
"docs.noteLabel","Nota de operaciones"
"docs.noteMail","La lista de correo se devuelve como un array plano dentro del sobre de respuesta; no hay un segundo objeto de correos."
"docs.noteServer","Para Coolify, el puerto 25 se expone directamente; HTTP/HTTPS se sirve a través de proxy."
"docs.noteStart","Si se solicita la misma dirección de nuevo, el sistema devuelve la información de buzón existente en lugar de un error."
"docs.searchPlaceholder","Buscar clave API, OTP, DNS, Bulk o endpoint"
"docs.sideAutomationBody","Usa `wait=25` y `after_id` para reducir el tráfico del bot."
"docs.sideAutomationStrong","Long-poll recomendado"
"docs.sideAutomationTitle","AUTOMATIZACIÓN"
"docs.sideDeployBody","El puerto 25, Docker Compose y los pasos DNS están en la guía del servidor."
"docs.sideDeployStrong","Listo para Coolify"
"docs.sideDeployTitle","DESPLIEGUE"
"docs.sideDomainBody","Los administradores pueden añadir subdominios a dominios activos."
"docs.sideDomainStrong","Subdominio soportado"
"docs.sideDomainTitle","DOMINIO"
"docs.stepApi1Body","Genera una clave que empiece por tm_ seleccionando los ámbitos necesarios en la pantalla de automatización."
"docs.stepApi1Title","Crear una clave"
"docs.stepApi2Body","La clave completa solo se muestra al crearla; guárdala en la variable de entorno de tu bot."
"docs.stepApi2Title","Guardar el secreto"
"docs.stepApi3Body","Espera con wait=25 hasta que llegue el correo en lugar de hacer polling completo cada 2,5s."
"docs.stepApi3Title","Usar long-poll"
"docs.stepApi4Body","Lee solo los correos nuevos con after_id."
"docs.stepApi4Title","Mantener el cursor"
"docs.stepBulk1Body","P. ej. elegir gork continúa las direcciones como gork_0, gork_1."
"docs.stepBulk1Title","Introduce un prefijo"
"docs.stepBulk2Body","Generación atómica entre 1 y 100; las colisiones se omiten."
"docs.stepBulk2Title","Elegir dominio y cantidad"
"docs.stepBulk3Body","Escanea correo y OTP de todos los destinatarios en un único flujo en la ventana de bandeja masiva."
"docs.stepBulk3Title","Abrir el grupo"
"docs.stepBulk4Body","El mismo grupo sigue generando desde el siguiente índice vacío."
"docs.stepBulk4Title","Continuar"
"docs.stepMail1Body","Se verifican dominio activo y destinatario registrado; el correo y los adjuntos se almacenan permanentemente."
"docs.stepMail1Title","SMTP recibe"
"docs.stepMail2Body","Se admiten BXS-AJ2, ABC-123, IRU-VO0 y códigos numéricos clásicos."
"docs.stepMail2Title","Se escanea el OTP"
"docs.stepMail3Body","© 2026, fecha/hora, pedido, números de seguimiento y referencia son señales de rechazo."
"docs.stepMail3Title","Se filtran los falsos candidatos"
"docs.stepMail4Body","Los eventos de correo/OTP nuevos se envían a canales Socket.io, SSE y webhook."
"docs.stepMail4Title","Se publica el evento"
"docs.stepServer1Body","mail.domain.tld debe apuntar a la IP del servidor, y el registro MX a este nombre de host."
"docs.stepServer1Title","Registros A y MX"
"docs.stepServer2Body","TCP 25 entrante debe estar abierto para SMTP; el proxy de Cloudflare debe permanecer desactivado."
"docs.stepServer2Title","Acceso al puerto 25"
"docs.stepServer3Body","SPF, DKIM, DMARC y PTR mejoran la entregabilidad."
"docs.stepServer3Title","Registros de seguridad"
"docs.stepServer4Body","Verifica con una copia de BD antes de desplegar; las migraciones son aditivas."
"docs.stepServer4Title","Proteger los datos"
"docs.stepStart1Body","Elige uno de los dominios activos o usa un subdominio añadido por el administrador."
"docs.stepStart1Title","Elegir un dominio"
"docs.stepStart2Body","Crea una dirección única o un grupo basado en prefijos con Bulk Studio."
"docs.stepStart2Title","Crear una dirección"
"docs.stepStart3Body","Consulta el correo nuevo en la Bandeja, SSE o long-poll."
"docs.stepStart3Title","Recibir el correo"
"docs.stepStart4Body","El código se detecta desde el asunto, texto y contexto HTML; cópialo directamente."
"docs.stepStart4Title","Usar el OTP"
"docs.titleApi","Automatización con clave API"
"docs.titleBulk","Grupos de prefijos"
"docs.titleMail","OTP, bandeja y tiempo real"
"docs.titleServer","SMTP, DNS y despliegue"
"docs.titleStart","Inicio rápido"
"docs.topics","TEMAS"
"domains.noneTitle","Sin dominios activos"
"domains.subdomainSupported","Subdominio soportado"
"emailView.attachments","Adjuntos ({count})"
"emailView.copied","Copiado"
"emailView.copy","Copiar"
"emailView.date","Fecha"
"emailView.noContent","Sin contenido"
"emailView.otpCode","Código de verificación"
"emailView.reply","Responder"
"emailView.selectMail","Selecciona un correo"
"emailView.selectMailHint","Elige un correo de la lista de la izquierda para ver su contenido."
"emailView.sender","De"
"emailView.subject","Asunto"
"emailView.subtitle","Contenido del mensaje y adjuntos"
"emailView.textMode","Texto"
"emailView.title","Detalle de correo"
"errors.actionFailed","Acción fallida"
"errors.addressCreateFailed","No se pudo crear la dirección"
"errors.sessionExpired","Tu sesión ha caducado, inicia sesión de nuevo"
"errors.wrongPassword","Contraseña incorrecta"
"inbox.confirmDelete","¿Eliminar este correo?"
"inbox.copyOtp","Copiar OTP"
"inbox.createAddressFirst","Crea una dirección primero"
"inbox.delete","Eliminar"
"inbox.filters","Filtros"
"inbox.footerHint","Los correos nuevos se muestran en esta lista al instante."
"inbox.footerTitle","Tus correos aparecerán aquí"
"inbox.live","En vivo"
"inbox.mailsWillAppear","El correo entrante aparecerá aquí."
"inbox.noMails","Aún no hay correo"
"inbox.noMailsHint","Los mensajes nuevos aparecen aquí en tiempo real."
"inbox.noResults","No se encontraron resultados"
"inbox.noSubject","(Sin asunto)"
"inbox.otpBadge","OTP"
"inbox.refresh","Actualizar"
"inbox.searchPlaceholder","Buscar..."
"inbox.subtitle","Transmisión de mensajes en vivo"
"inbox.title","Bandeja"
"inbox.waiting","En espera"
"inbox.yesterday","Ayer"
"nav.admin","Administrador"
"nav.learn","Recursos"
"nav.mailbox","Buzón"
"nav.scale","Escalar"
