key,ru
"adminBulk.generateWithOverride","Генерация с переопределением администратора"
"adminBulk.generating","Генерация…"
"adminBulk.guideActive","Пул открыт, генерацию можно продолжать"
"adminBulk.guideActiveLabel","активен"
"adminBulk.guideArchive","Пул закрыт"
"adminBulk.guideArchiveLabel","в архиве"
"adminBulk.guideBody","Управляйте статусами пулов здесь."
"adminBulk.guidePause","Генерация приостановлена"
"adminBulk.guidePauseLabel","приостановлен"
"adminBulk.guideTitle","Управление"
"adminBulk.ownerQuotaNote","Квота владельца: {count}"
"adminBulk.pause","Пауза"
"adminBulk.poolOperations","ПУЛЫ"
"adminBulk.poolOwner","Владелец пула"
"adminBulk.searchPlaceholder","Поиск префикса, владельца или домена"
"adminBulk.selectOwnerPrefixDomain","Выберите владельца, префикс и домен"
"adminBulk.statusActive","активен"
"adminBulk.statusArchived","в архиве"
"adminBulk.statusPaused","приостановлен"
"adminBulk.subtitle","Массовая генерация с переопределением квоты от имени пользователей и управление статусами пулов."
"adminBulk.title","Управление массовыми пулами"
"adminBulk.viewForCsv","Просмотр CSV"
"app.accessOpened","Доступ к адресу открыт"
"app.accountRail","Аккаунт"
"app.accountSettings","Настройки аккаунта"
"app.addressCreatedPassworded","Создан адрес, защищённый паролем"
"app.addressCreatedReady","Новый адрес готов"
"app.addressOpened","Адрес открыт"
"app.admin","Администратор"
"app.adminPanel","Панель администратора"
"app.adminRequired","Требуется доступ администратора"
"app.automationGuestHint","Управляйте API-ключами и вебхуками из вашего зарегистрированного аккаунта."
"app.automationGuestTitle","Войдите для автоматизации"
"app.automationRail","Автоматизация"
"app.bodyPlaceholder","Напишите сообщение"
"app.brandSubtitle","Рабочее пространство временной почты Mamak Studio"
"app.bulkAdminRail","Массовое управление"
"app.cancel","Отмена"
"app.close","Закрыть"
"app.composeBody","Тело"
"app.composeFrom","От"
"app.composeSubject","Тема"
"app.composeTitle","Новое письмо"
"app.composeTo","Кому"
"app.continue","Продолжить"
"app.copyFail","Не удалось скопировать"
"app.copySuccess","Скопировано"
"app.deleted","Удалено"
"app.docsRail","Документация"
"app.domains","Домены"
"app.domainsRail","Домены"
"app.domainsSubtitle","Доступные в данный момент домены перечислены ниже."
"app.errorOccurred","Что-то пошло не так"
"app.guestContinue","Продолжить как гость"
"app.guestHint","Админ: admin / admin123"
"app.guestMode","Гость"
"app.guestModeDesc","Начать без входа"
"app.inbox","Входящие"
"app.loading","Загрузка..."
"app.logout","Выйти"
"app.mobileNavAria","Мобильное меню"
"app.newMailToast","Новая почта: {sender}"
"app.noActiveDomains","Активных доменов пока нет."
"app.operationsRail","Операции"
"app.otpCopied","OTP: {otp}"
"app.otpCopyFail","Не удалось скопировать OTP"
"app.passwordLabel","Пароль"
"app.passwordPlaceholder","Пароль"
"app.passwordRequiredSubtitle","{address} защищён паролем"
"app.passwordRequiredTitle","Требуется пароль"
"app.passwordSaved","Пароль сохранён"
"app.preparing","Подготовка {name}…"
"app.proFeatureAddresses","Безлимитное создание адресов"
"app.proFeatureDomains","Поддержка кастомных доменов"
"app.proFeatureMailStorage","Хранение 5000 писем"
"app.proFeatureRetention","Хранение 365 дней"
"app.proFeatureWebhooks","Интеграция вебхуков"
"app.proFeaturesTitle","Возможности пакета Pro"
"app.proMessage","Сообщение (необязательно)"
"app.proMessagePlaceholder","Зачем вам Pro?"
"app.proRequestSubtitle","Станьте пользователем Pro с одобрения администратора"
"app.proRequestTitle","Перейти на Pro"
"app.proRequested","Запрос Pro отправлен"
"app.proUpgrade","Перейти на Pro"
"app.recipientPlaceholder","recipient@example.com"
"app.reloadPage","Перезагрузить страницу"
"app.roleAdmin","Администратор"
"app.roleFree","Свободный пользователь"
"app.rolePro","Пользователь Pro"
"app.roleProPlus","Пользователь Pro+"
"app.save","Сохранить"
"app.send","Отправить"
"app.sent","Отправлено"
"app.setPasswordSubtitle","Для будущего доступа потребуется пароль"
"app.setPasswordTitle","Установить пароль"
"app.signIn","Войти"
"app.signUp","Регистрация"
"app.subjectPlaceholder","Тема"
"app.workspaceAria","Рабочее пространство"
"auth.email","Эл. почта"
"auth.freePlan","Free"
"auth.freePlanDesc","Создать бесплатный аккаунт"
"auth.guestContinue","Продолжить как гость"
"auth.guestMode","Гость"
"auth.guestModeDesc","Начать без входа"
"auth.login","Войти"
"auth.password","Пароль"
"auth.proPlan","Pro"
"auth.proPlanDesc","Улучшенный аккаунт"
"auth.processing","⏳ Обработка..."
"auth.register","Регистрация"
"auth.subtitle","Оставайтесь гостем, создайте бесплатный аккаунт или перейдите на Pro."
"auth.title","Временная почта, меньше спама."
"auth.username","Имя пользователя"
"automation.activate","Включить"
"automation.active","активен"
"automation.addWebhook","Добавить вебхук"
"automation.apiKey","API-ключ"
"automation.copy","Копировать"
"automation.createKey","Создать ключ"
"automation.deactivate","Отключить"
"automation.events","События"
"automation.eyebrow","ЦЕНТР АВТОМАТИЗАЦИИ"
"automation.hookNamePlaceholder","Продукционные события"
"automation.hookUrlPlaceholder","https://example.com/hooks/mail"
"automation.inactive","неактивен"
"automation.keyNamePlaceholder","CUSTOM_TEMPMAIL_TOKEN"
"automation.lastUsed","Последнее использование"
"automation.master","MASTER"
"automation.masterKey","Мастер-ключ (все области)"
"automation.name","Имя"
"automation.neverUsed","Никогда не использовался"
"automation.newSecret","Новый секрет — показывается только один раз"
"automation.noHooks","Вебхуков пока нет"
"automation.noKeys","API-ключей пока нет"
"automation.rateLimit","Лимит запросов (req/min)"
"automation.rateUnit","/мин"
"automation.revoke","Отозвать"
"automation.scopes","Области"
"automation.start","Запустить"
"automation.stop","Остановить"
"automation.subtitle","Подключайте внешние системы с помощью API-ключей и целей вебхуков."
"automation.title","Центр автоматизации"
"automation.usageCount","{count} запросов"
"automation.webhookTarget","Цель уведомлений"
"bulk.accessDeniedBody","Массовый доступ требует пакет Pro/Pro+ и разрешение администратора."
"bulk.accessDeniedTitle","Доступ к Bulk Studio отключён"
"bulk.activeRecords","активных записей"
"bulk.addressesReady","{count} адресов готово"
"bulk.adminOverride","переопределение администратора"
"bulk.continue","Продолжить"
"bulk.continueAction","Продолжить"
"bulk.continueFromIndex","Существующий пул продолжается с индекса {index}"
"bulk.copy","Копировать"
"bulk.copyAll","Копировать все"
"bulk.createAddresses","Создать адреса"
"bulk.createFailed","Создание не удалось"
"bulk.domainLabel","Домен"
"bulk.downloadTxt","Скачать TXT"
"bulk.eyebrow","BULK STUDIO"
"bulk.firstAddress","Первый адрес"
"bulk.howMany","Сколько адресов?"
"bulk.lastAddress","Последний адрес"
"bulk.livePreview","Живой предпросмотр"
"bulk.loadPoolsFailed","Не удалось загрузить пулы"
"bulk.newPoolWillCreate","Новый пул сгенерирует {count} адресов"
"bulk.newSeries","Новая серия адресов"
"bulk.noPools","Вы ещё не создали пул."
"bulk.openMails","Открыть письма"
"bulk.plan","Тариф"
"bulk.poolMeta","{count} адресов · следующий #{index}"
"bulk.prefixInvalid","Неверный формат префикса"
"bulk.prefixLabel","Префикс"
"bulk.prefixPlaceholder","example"
"bulk.preparing","Подготовка Bulk Studio…"
"bulk.selectDomain","Выбрать домен"
"bulk.startWith","Начните с префикса"
"bulk.subtitle","Создавайте и управляйте пулами адресов на основе префиксов."
"bulk.successTarget","{prefix}_* @{domain}"
"bulk.title","Bulk Studio"
"bulk.yourPools","Ваши пулы"
"bulkInbox.colRecipient","Получатель"
"bulkInbox.colSenderSubject","Отправитель / Тема"
"bulkInbox.colTime","Время"
"bulkInbox.copyOtp","Копировать OTP"
"bulkInbox.loadFailed","Не удалось загрузить почту"
"bulkInbox.loadOlder","Загрузить старые письма"
"bulkInbox.loading","Загрузка…"
"bulkInbox.mailboxCount","{count} ящиков"
"bulkInbox.modalSubtitle","Массовые входящие · Вся почта и коды OTP по ящикам пула"
"bulkInbox.noMails","В этом пуле ещё не получено писем"
"bulkInbox.noOtpMails","Нет писем с OTP"
"bulkInbox.noSubject","(Без темы)"
"bulkInbox.otpCopyFailed","Не удалось скопировать OTP"
"bulkInbox.otpOnly","Только OTP"
"bulkInbox.preparing","Подготовка массовых входящих…"
"bulkInbox.refresh","Обновить"
"bulkInbox.searchPlaceholder","Поиск получателя, отправителя или темы"
"bulkInbox.statText","{mails} писем · {otps} OTP"
"bulkInbox.toolbarHint","Нажимайте коды OTP для копирования"
"bulkInbox.unknownSender","(неизвестно)"
"cmdk.actions","Действия"
"cmdk.copyAddress","Копировать адрес"
"cmdk.domains","Домены"
"cmdk.empty","Нет результатов"
"cmdk.navigate","Перейти"
"cmdk.newAddress","Новый случайный адрес"
"cmdk.search","Поиск или выполнение команды…"
"cmdk.themeDark","Тёмная тема"
"cmdk.themeLight","Светлая тема"
"docs.catApi","API И БОТ"
"docs.catBulk","BULK STUDIO"
"docs.catMail","ПОЧТОВЫЕ ОПЕРАЦИИ"
"docs.catServer","СЕРВЕР И DNS"
"docs.catStart","НАЧАЛО РАБОТЫ"
"docs.cmdkHint","⌘K для глобального поиска"
"docs.codeCopied","Скопировано"
"docs.codeCopy","Копировать"
"docs.codeExample","ПРИМЕР КОМАНДЫ"
"docs.descApi","Безопасный бот-поток с низким трафиком через CUSTOM_TEMPMAIL_TOKEN."
"docs.descBulk","Генерация последовательных пулов ящиков с префиксом и чётким владением."
"docs.descMail","Надёжный поток от доставки почты до кода подтверждения."
"docs.descServer","Чек-лист операций для поддержания работоспособности принимающего почту сервера."
"docs.descStart","Откройте ящик, получите код подтверждения и завершите работу."
"docs.heroEyebrow","СПРАВОЧНИК ПО ОПЕРАЦИЯМ"
"docs.heroSignal","Живой контракт"
"docs.heroSignalSub","API-ключ · OTP · реальное время"
"docs.heroSubtitle","Внутреннее руководство по операциям с ящиком, API и сервером."
"docs.heroTitle","Сделайте дело, найдите справку."
"docs.libraryAria","Темы документации"
"docs.noResult","Соответствующая тема не найдена."
"docs.noteApi","Обычный ключ получает доступ только к ящикам своего владельца. Мастер-ключ администратора получает доступ ко всем операционным эндпоинтам."
"docs.noteBulk","Пользователям Pro/Pro+ требуется массовое разрешение администратора. Администраторы могут генерировать от имени пользователей с переопределением квоты."
"docs.noteLabel","Примечание по операциям"
"docs.noteMail","Список писем возвращается как плоский массив внутри конверта ответа; второго объекта emails нет."
"docs.noteServer","Для Coolify порт 25 открывается напрямую; HTTP/HTTPS обслуживается через прокси."
"docs.noteStart","Если тот же адрес запрашивается снова, система возвращает информацию о существующем ящике вместо ошибки."
"docs.searchPlaceholder","Поиск API-ключа, OTP, DNS, Bulk или эндпоинта"
"docs.sideAutomationBody","Используйте `wait=25` и `after_id` для снижения трафика бота."
"docs.sideAutomationStrong","Рекомендуется long-poll"
"docs.sideAutomationTitle","АВТОМАТИЗАЦИЯ"
"docs.sideDeployBody","Порт 25, Docker Compose и шаги DNS — в руководстве по серверу."
"docs.sideDeployStrong","Готово для Coolify"
"docs.sideDeployTitle","РАЗВЁРТЫВАНИЕ"
"docs.sideDomainBody","Администраторы могут добавлять поддомены к активным доменам."
"docs.sideDomainStrong","Поддержка поддоменов"
"docs.sideDomainTitle","ДОМЕН"
"docs.stepApi1Body","Сгенерируйте ключ, начинающийся с tm_, выбрав нужные области на экране автоматизации."
"docs.stepApi1Title","Создать ключ"
"docs.stepApi2Body","Полный ключ показывается только при создании; сохраните его в переменную окружения бота."
"docs.stepApi2Title","Сохранить секрет"
"docs.stepApi3Body","Ожидайте с wait=25 до прихода почты вместо полного опроса каждые 2.5с."
"docs.stepApi3Title","Используйте long-poll"
"docs.stepApi4Body","Читайте только новые письма с after_id."
"docs.stepApi4Title","Сохраняйте курсор"
"docs.stepBulk1Body","Напр. выбор gork продолжит адреса как gork_0, gork_1."
"docs.stepBulk1Title","Введите префикс"
"docs.stepBulk2Body","Атомарная генерация от 1 до 100; коллизии пропускаются."
"docs.stepBulk2Title","Выберите домен и количество"
"docs.stepBulk3Body","Просматривайте почту и OTP по всем получателям в одном потоке во всплывающем окне массовых входящих."
"docs.stepBulk3Title","Откройте пул"
"docs.stepBulk4Body","Тот же пул продолжает генерацию со следующего пустого индекса."
"docs.stepBulk4Title","Продолжить"
"docs.stepMail1Body","Активный домен и зарегистрированный получатель проверяются; почта и вложения хранятся навсегда."
"docs.stepMail1Title","SMTP принимает"
"docs.stepMail2Body","Поддерживаются BXS-AJ2, ABC-123, IRU-VO0 и классические цифровые коды."
"docs.stepMail2Title","OTP сканируется"
"docs.stepMail3Body","© 2026, дата/время, заказ, отслеживание и референсные номера — сигналы для отклонения."
"docs.stepMail3Title","Ложные кандидаты отфильтрованы"
"docs.stepMail4Body","События новой почты/OTP отправляются в каналы Socket.io, SSE и вебхуки."
"docs.stepMail4Title","Событие опубликовано"
"docs.stepServer1Body","mail.domain.tld должен указывать на IP сервера, а MX-запись на этот хост."
"docs.stepServer1Title","A и MX записи"
"docs.stepServer2Body","TCP 25 inbound должен быть открыт для SMTP; прокси Cloudflare должен оставаться выключенным."
"docs.stepServer2Title","Доступ к порту 25"
"docs.stepServer3Body","SPF, DKIM, DMARC и PTR улучшают доставляемость."
"docs.stepServer3Title","Записи безопасности"
"docs.stepServer4Body","Проверьте копией БД перед развёртыванием; миграции выполняются аддитивно."
"docs.stepServer4Title","Защитите данные"
"docs.stepStart1Body","Выберите один из активных доменов или используйте поддомен, добавленный администратором."
"docs.stepStart1Title","Выберите домен"
"docs.stepStart2Body","Создайте одиночный адрес или пул на основе префикса через Bulk Studio."
"docs.stepStart2Title","Создайте адрес"
"docs.stepStart3Body","Смотрите новую почту через Inbox, SSE или long-poll."
"docs.stepStart3Title","Получите почту"
"docs.stepStart4Body","Код определяется из темы, текстового и HTML-контекста; скопируйте его напрямую."
"docs.stepStart4Title","Используйте OTP"
"docs.titleApi","Автоматизация с API-ключом"
"docs.titleBulk","Пулы префиксов"
"docs.titleMail","OTP, входящие и реальное время"
"docs.titleServer","SMTP, DNS и развёртывание"
"docs.titleStart","Быстрый старт"
"docs.topics","ТЕМЫ"
"domains.noneTitle","Нет активных доменов"
"domains.subdomainSupported","Поддержка поддоменов"
"emailView.attachments","Вложения ({count})"
"emailView.copied","Скопировано"
"emailView.copy","Копировать"
"emailView.date","Дата"
"emailView.noContent","Нет содержимого"
"emailView.otpCode","Код подтверждения"
"emailView.reply","Ответить"
"emailView.selectMail","Выберите письмо"
"emailView.selectMailHint","Выберите письмо из списка слева, чтобы посмотреть его содержимое."
"emailView.sender","От"
"emailView.subject","Тема"
"emailView.subtitle","Содержимое сообщения и вложения"
"emailView.textMode","Текст"
"emailView.title","Детали письма"
"errors.actionFailed","Действие не удалось"
"errors.addressCreateFailed","Не удалось создать адрес"
"errors.sessionExpired","Срок действия сессии истёк, пожалуйста, войдите снова"
"errors.wrongPassword","Неверный пароль"
"inbox.confirmDelete","Удалить это письмо?"
"inbox.copyOtp","Копировать OTP"
"inbox.createAddressFirst","Сначала создайте адрес"
"inbox.delete","Удалить"
"inbox.filters","Фильтры"
"inbox.footerHint","Новые письма отображаются в этом списке мгновенно."
"inbox.footerTitle","Ваши письма появятся здесь"
"inbox.live","В эфире"
"inbox.mailsWillAppear","Входящая почта будет отображаться здесь."
"inbox.noMails","Писем пока нет"
"inbox.noMailsHint","Новые сообщения появляются здесь в реальном времени."
"inbox.noResults","Результаты не найдены"
"inbox.noSubject","(Без темы)"
"inbox.otpBadge","OTP"
"inbox.refresh","Обновить"
"inbox.searchPlaceholder","Поиск..."
"inbox.subtitle","Поток сообщений в реальном времени"
"inbox.title","Входящие"
"inbox.waiting","Ожидание"
"inbox.yesterday","Вчера"
"nav.admin","Администратор"
"nav.learn","Ресурсы"
"nav.mailbox","Почтовый ящик"
"nav.scale","Масштаб"
"accountModal.tabs.addresses","Адреса"
"accountModal.tabsSubtitle.addresses","Теги и избранное"
"accountModal.addressListTitle","Теги и Избранное"
"accountModal.addressListHint","Пометьте адреса тегами и избранным."
"accountModal.noAddresses","Адресов пока нет."
