key,de
"admin.ui.requests.pending","Ausstehend"
"admin.ui.requests.reject","Ablehnen"
"admin.ui.requests.rejected","Abgelehnt"
"admin.ui.requests.title","Pro-Anfragen ({count})"
"admin.ui.settings.activeDomainCount","Anzahl aktiver Domains"
"admin.ui.settings.adminAuth","Administrator-Authentifizierung"
"admin.ui.settings.adminAuthValue","JWT + Passwort-Fallback"
"admin.ui.settings.cleanupPolicy","Bereinigungsrichtlinie"
"admin.ui.settings.cleanupPolicyValue","Manuell + servicebasiert"
"admin.ui.settings.defaultRetention","Standard-Datenaufbewahrung"
"admin.ui.settings.defaultRetentionValue","7 Tage / nur manueller Trigger"
"admin.ui.settings.defaultSoundDesc","Ein mehrschichtiger, heller Glockeneffekt."
"admin.ui.settings.defaultSoundName","Glasglocke"
"admin.ui.settings.general","Allgemeine Einstellungen"
"admin.ui.settings.logout","Admin-Sitzung beenden"
"admin.ui.settings.mailVolume","E-Mail-Volumen"
"admin.ui.settings.notifSound","Benachrichtigungston"
"admin.ui.settings.opsSummary","Ablaufübersicht"
"admin.ui.settings.pendingRequests","Ausstehende Anfragen"
"admin.ui.settings.preview","Vorschau"
"admin.ui.settings.protectedMailbox","Passwortgeschützte Postfächer"
"admin.ui.settings.refreshAll","Alle Daten aktualisieren"
"admin.ui.settings.selectedSignal","Ausgewähltes Signal"
"admin.ui.settings.totalUsers","Benutzer gesamt"
"admin.ui.users.activate","Aktivieren"
"admin.ui.users.active","Aktiv"
"admin.ui.users.admin","Admin"
"admin.ui.users.adminPackage","Admin-Paket"
"admin.ui.users.bulkClose","Massen deaktivieren"
"admin.ui.users.bulkOff","Aus"
"admin.ui.users.bulkOn","An"
"admin.ui.users.bulkOpen","Massen aktivieren"
"admin.ui.users.colAction","Aktion"
"admin.ui.users.colAddr","Adressen"
"admin.ui.users.colBulk","Masse"
"admin.ui.users.colLastLogin","Letzte Anmeldung"
"admin.ui.users.colMail","E-Mail"
"admin.ui.users.colRole","Rolle"
"admin.ui.users.colStatus","Status"
"admin.ui.users.colUser","Benutzer"
"admin.ui.users.deactivate","Deaktivieren"
"admin.ui.users.emptySubtitle","Registrierte Benutzer werden hier aufgelistet."
"admin.ui.users.emptyTitle","Keine Benutzer gefunden"
"admin.ui.users.free","Free"
"admin.ui.users.inactive","Inaktiv"
"admin.ui.users.pools","{count} Pools"
"admin.ui.users.pro","Pro"
"admin.ui.users.proPlus","Pro+"
"admin.ui.users.title","Benutzer ({count})"
"adminBulk.activate","Aktivieren"
"adminBulk.activePools","Aktive Pools"
"adminBulk.addressCount","Anzahl"
"adminBulk.adminGeneration","Admin-Generierung"
"adminBulk.allStatuses","Alle Status"
"adminBulk.archive","Archivieren"
"adminBulk.eyebrow","ADMIN-MASSSTEUERUNG"
"adminBulk.generateFailed","Generierung fehlgeschlagen"
"adminBulk.generateSuccess","{count} Adressen generiert"
"adminBulk.generateWithOverride","Mit Admin-Überschreibung generieren"
"adminBulk.generating","Generierung…"
"adminBulk.guideActive","Pool offen, Generierung kann fortgesetzt werden"
"adminBulk.guideActiveLabel","aktiv"
"adminBulk.guideArchive","Pool geschlossen"
"adminBulk.guideArchiveLabel","archiviert"
"adminBulk.guideBody","Pool-Status hier verwalten."
"adminBulk.guidePause","Generierung pausiert"
"adminBulk.guidePauseLabel","pausiert"
"adminBulk.guideTitle","Steuerung"
"adminBulk.ownerQuotaNote","Besitzer-Kontingent: {count}"
"adminBulk.pause","Pausieren"
"adminBulk.poolOperations","POOLS"
"adminBulk.poolOwner","Pool-Besitzer"
"adminBulk.searchPlaceholder","Präfix, Besitzer oder Domain suchen"
"adminBulk.selectOwnerPrefixDomain","Besitzer, Präfix und Domain auswählen"
"adminBulk.statusActive","aktiv"
"adminBulk.statusArchived","archiviert"
"adminBulk.statusPaused","pausiert"
"adminBulk.subtitle","Massengenerierung mit Kontingent-Überschreibung im Namen von Benutzern und Pool-Status-Steuerung."
"adminBulk.title","Massen-Pool-Verwaltung"
"adminBulk.viewForCsv","CSV anzeigen"
"app.accessOpened","Adresszugriff geöffnet"
"app.accountRail","Konto"
"app.accountSettings","Kontoeinstellungen"
"app.addressCreatedPassworded","Passwortgeschützte Adresse erstellt"
"app.addressCreatedReady","Neue Adresse bereit"
"app.addressOpened","Adresse geöffnet"
"app.admin","Admin"
"app.adminPanel","Admin-Panel"
"app.adminRequired","Administrator-Zugriff erforderlich"
"app.automationGuestHint","Verwalten Sie API-Schlüssel und Webhooks über Ihr registriertes Konto."
"app.automationGuestTitle","Für Automatisierung anmelden"
"app.automationRail","Automatisierung"
"app.bodyPlaceholder","Nachricht schreiben"
"app.brandSubtitle","Mamak Studio temporäre E-Mail-Arbeitsumgebung"
"app.bulkAdminRail","Massenverwaltung"
"app.cancel","Abbrechen"
"app.close","Schließen"
"app.composeBody","Inhalt"
"app.composeFrom","Von"
"app.composeSubject","Betreff"
"app.composeTitle","Neue E-Mail"
"app.composeTo","An"
"app.continue","Weiter"
"app.copyFail","Kopieren fehlgeschlagen"
"app.copySuccess","Kopiert"
"app.deleted","Gelöscht"
"app.docsRail","Doku"
"app.domains","Domains"
"app.domainsRail","Domains"
"app.domainsSubtitle","Aktuell verfügbare Domains sind unten aufgelistet."
"app.errorOccurred","Etwas ist schiefgelaufen"
"app.guestContinue","Als Gast fortfahren"
"app.guestHint","Admin: admin / admin123"
"app.guestMode","Gast"
"app.guestModeDesc","Ohne Anmeldung starten"
"app.inbox","Posteingang"
"app.loading","Wird geladen..."
"app.logout","Abmelden"
"app.mobileNavAria","Mobiles Menü"
"app.newMailToast","Neue E-Mail: {sender}"
"app.noActiveDomains","Noch keine aktiven Domains."
"app.operationsRail","Abläufe"
"app.otpCopied","OTP: {otp}"
"app.otpCopyFail","OTP konnte nicht kopiert werden"
"app.passwordLabel","Passwort"
"app.passwordPlaceholder","Passwort"
"app.passwordRequiredSubtitle","{address} ist passwortgeschützt"
"app.passwordRequiredTitle","Passwort erforderlich"
"app.passwordSaved","Passwort gespeichert"
"app.preparing","{name} wird vorbereitet…"
"app.proFeatureAddresses","Unbegrenzte Adresserstellung"
"app.proFeatureDomains","Custom-Domain-Unterstützung"
"app.proFeatureMailStorage","5000 E-Mail-Speicher"
"app.proFeatureRetention","365 Tage Aufbewahrung"
"app.proFeatureWebhooks","Webhook-Integration"
"app.proFeaturesTitle","Pro-Paket-Funktionen"
"app.proMessage","Nachricht (optional)"
"app.proMessagePlaceholder","Warum möchten Sie Pro?"
"app.proRequestSubtitle","Werden Sie mit Administrator-Genehmigung Pro-Benutzer"
"app.proRequestTitle","Auf Pro upgraden"
"app.proRequested","Pro-Anfrage gesendet"
"app.proUpgrade","Pro holen"
"app.recipientPlaceholder","empfaenger@example.com"
"app.reloadPage","Seite neu laden"
"app.roleAdmin","Administrator"
"app.roleFree","Free-Benutzer"
"app.rolePro","Pro-Benutzer"
"app.roleProPlus","Pro+-Benutzer"
"app.save","Speichern"
"app.send","Senden"
"app.sent","Gesendet"
"app.setPasswordSubtitle","Für künftigen Zugriff wird ein Passwort benötigt"
"app.setPasswordTitle","Passwort festlegen"
"app.signIn","Anmelden"
"app.signUp","Registrieren"
"app.subjectPlaceholder","Betreff"
"app.workspaceAria","Arbeitsbereich"
"auth.email","E-Mail"
"auth.freePlan","Free"
"auth.freePlanDesc","Kostenloses Konto erstellen"
"auth.guestContinue","Als Gast fortfahren"
"auth.guestMode","Gast"
"auth.guestModeDesc","Ohne Anmeldung starten"
"auth.login","Anmelden"
"auth.password","Passwort"
"auth.proPlan","Pro"
"auth.proPlanDesc","Erweitertes Konto"
"auth.processing","⏳ Verarbeitung..."
"auth.register","Registrieren"
"auth.subtitle","Gast bleiben, kostenloses Konto erstellen oder auf Pro upgraden."
"auth.title","Temporäre E-Mail, weniger Spam."
"auth.username","Benutzername"
"automation.activate","Aktivieren"
"automation.active","aktiv"
"automation.addWebhook","Webhook hinzufügen"
"automation.apiKey","API-Schlüssel"
"automation.copy","Kopieren"
"automation.createKey","Schlüssel erstellen"
"automation.deactivate","Deaktivieren"
"automation.events","Ereignisse"
"automation.eyebrow","AUTOMATISIERUNGSZENTRUM"
"automation.hookNamePlaceholder","Produktionsereignisse"
"automation.hookUrlPlaceholder","https://example.com/hooks/mail"
"automation.inactive","inaktiv"
"automation.keyNamePlaceholder","CUSTOM_TEMPMAIL_TOKEN"
"automation.lastUsed","Zuletzt verwendet"
"automation.master","MASTER"
"automation.masterKey","Master-Schlüssel (alle Scopes)"
"automation.name","Name"
"automation.neverUsed","Nie verwendet"
"automation.newSecret","Neues Secret — nur einmal angezeigt"
"automation.noHooks","Noch keine Webhooks"
"automation.noKeys","Noch keine API-Schlüssel"
"automation.rateLimit","Ratenlimit (Anf./Min.)"
"automation.rateUnit","/Min."
"automation.revoke","Widerrufen"
"automation.scopes","Scopes"
"automation.start","Start"
"automation.stop","Stopp"
"automation.subtitle","Externe Systeme mit API-Schlüsseln und Webhook-Zielen verbinden."
"automation.title","Automatisierungszentrum"
"automation.usageCount","{count} Anfragen"
"automation.webhookTarget","Benachrichtigungsziel"
"bulk.accessDeniedBody","Massenzugriff erfordert Pro/Pro+-Paket und Administrator-Berechtigung."
"bulk.accessDeniedTitle","Bulk-Studio-Zugriff deaktiviert"
"bulk.activeRecords","aktive Einträge"
"bulk.addressesReady","{count} Adressen bereit"
"bulk.adminOverride","Admin-Überschreibung"
"bulk.continue","Weiter"
"bulk.continueAction","Weiter"
"bulk.continueFromIndex","Bestehender Pool läuft ab Index {index} weiter"
"bulk.copy","Kopieren"
"bulk.copyAll","Alle kopieren"
"bulk.createAddresses","Adressen erstellen"
"bulk.createFailed","Erstellung fehlgeschlagen"
"bulk.domainLabel","Domain"
"bulk.downloadTxt","TXT herunterladen"
"bulk.eyebrow","BULK-STUDIO"
"bulk.firstAddress","Erste Adresse"
"bulk.howMany","Wie viele Adressen?"
"bulk.lastAddress","Letzte Adresse"
"bulk.livePreview","Live-Vorschau"
"bulk.loadPoolsFailed","Pools konnten nicht geladen werden"
"bulk.newPoolWillCreate","Neuer Pool generiert {count} Adressen"
"bulk.newSeries","Neue Adressreihe"
"bulk.noPools","Sie haben noch keinen Pool erstellt."
"bulk.openMails","E-Mails öffnen"
"bulk.plan","Tarif"
"bulk.poolMeta","{count} Adressen · nächste #{index}"
"bulk.prefixInvalid","Ungültiges Präfix-Format"
"bulk.prefixLabel","Präfix"
"bulk.prefixPlaceholder","beispiel"
"bulk.preparing","Bulk-Studio wird vorbereitet…"
"bulk.selectDomain","Domain auswählen"
"bulk.startWith","Mit Präfix starten"
"bulk.subtitle","Präfixbasierte Adresspools erstellen und verwalten."
"bulk.successTarget","{prefix}_* @{domain}"
"bulk.title","Bulk-Studio"
"bulk.yourPools","Ihre Pools"
"bulkInbox.colRecipient","Empfänger"
"bulkInbox.colSenderSubject","Absender / Betreff"
"bulkInbox.colTime","Zeit"
"bulkInbox.copyOtp","OTP kopieren"
"bulkInbox.loadFailed","E-Mails konnten nicht geladen werden"
"bulkInbox.loadOlder","Ältere E-Mails laden"
"bulkInbox.loading","Wird geladen…"
"bulkInbox.mailboxCount","{count} Postfächer"
"bulkInbox.modalSubtitle","Massen-Posteingang · Alle E-Mails und OTP-Codes über Pool-Postfächer"
"bulkInbox.noMails","Noch keine E-Mails in diesem Pool empfangen"
"bulkInbox.noOtpMails","Keine E-Mail mit OTP"
"bulkInbox.noSubject","(Kein Betreff)"
"bulkInbox.otpCopyFailed","OTP konnte nicht kopiert werden"
"bulkInbox.otpOnly","Nur OTP"
"bulkInbox.preparing","Massen-Posteingang wird vorbereitet…"
"bulkInbox.refresh","Aktualisieren"
"bulkInbox.searchPlaceholder","Empfänger, Absender oder Betreff suchen"
"bulkInbox.statText","{mails} E-Mails · {otps} OTPs"
"bulkInbox.toolbarHint","Auf OTP-Codes klicken zum Kopieren"
"bulkInbox.unknownSender","(unbekannt)"
"cmdk.actions","Aktionen"
"cmdk.copyAddress","Adresse kopieren"
"cmdk.domains","Domains"
"cmdk.empty","Keine Ergebnisse"
"cmdk.navigate","Gehe zu"
"cmdk.newAddress","Neue zufällige Adresse"
"cmdk.search","Suchen oder Befehl ausführen…"
"cmdk.themeDark","Dunkles Design"
"cmdk.themeLight","Helles Design"
"docs.catApi","API & BOT"
"docs.catBulk","BULK-STUDIO"
"docs.catMail","E-MAIL-ABLÄUFE"
"docs.catServer","SERVER & DNS"
"docs.catStart","ERSTE SCHRITTE"
"docs.cmdkHint","⌘K für globale Suche"
"docs.codeCopied","Kopiert"
"docs.codeCopy","Kopieren"
"docs.codeExample","BEISPIELBEFEHL"
"docs.descApi","Sicherer, niedrig-Traffic-Bot-Ablauf mit CUSTOM_TEMPMAIL_TOKEN."
"docs.descBulk","Sequentielle Postfach-Pools mit Präfix und klarer Eigentümerschaft generieren."
"docs.descMail","Zuverlässiger Ablauf von E-Mail-Zustellung bis Verifizierungscode."
"docs.descServer","Ablaufliste für einen gesunden E-Mail-empfangenden Server."
"docs.descStart","Postfach öffnen, Verifizierungscode holen, Aufgabe erledigen."
"docs.heroEyebrow","ABLAGE-HANDBUCH"
"docs.heroSignal","Live-Vertrag"
"docs.heroSignalSub","API-Schlüssel · OTP · Echtzeit"
"docs.heroSubtitle","In-App-Leitfaden für Postfach-, API- und Server-Abläufe."
"docs.heroTitle","Erledigen, nachschlagen."
"docs.libraryAria","Dokumentationsthemen"
"docs.noResult","Kein passendes Thema gefunden."
"docs.noteApi","Ein Standardschlüssel greift nur auf Postfächer seines Besitzers zu. Der Admin-Master-Schlüssel greift auf alle Ablauf-Endpunkte zu."
"docs.noteBulk","Pro/Pro+-Benutzer benötigen Administrator-Massenberechtigung. Administratoren können mit Kontingent-Überschreibung im Namen von Benutzern generieren."
"docs.noteLabel","Ablaufhinweis"
"docs.noteMail","Die E-Mail-Liste wird als flaches Array innerhalb des Response-Envelopes zurückgegeben; es gibt kein zweites E-Mails-Objekt."
"docs.noteServer","Bei Coolify wird Port 25 direkt freigegeben; HTTP/HTTPS läuft über den Proxy."
"docs.noteStart","Wenn dieselbe Adresse erneut angefordert wird, gibt das System die bestehenden Postfach-Infos zurück statt eines Fehlers."
"docs.searchPlaceholder","API-Schlüssel, OTP, DNS, Bulk oder Endpunkt suchen"
"docs.sideAutomationBody","`wait=25` und `after_id` verwenden, um Bot-Traffic zu reduzieren."
"docs.sideAutomationStrong","Long-Poll empfohlen"
"docs.sideAutomationTitle","AUTOMATISIERUNG"
"docs.sideDeployBody","Port 25, Docker Compose und DNS-Schritte sind im Server-Leitfaden."
"docs.sideDeployStrong","Coolify-bereit"
"docs.sideDeployTitle","BEREITSTELLUNG"
"docs.sideDomainBody","Administratoren können aktiven Domains Subdomains hinzufügen."
"docs.sideDomainStrong","Subdomain unterstützt"
"docs.sideDomainTitle","DOMAIN"
"docs.stepApi1Body","Erstellen Sie einen Schlüssel beginnend mit tm_, indem Sie die erforderlichen Scopes im Automatisierungsbildschirm auswählen."
"docs.stepApi1Title","Schlüssel erstellen"
"docs.stepApi2Body","Der vollständige Schlüssel wird nur bei Erstellung angezeigt; speichern Sie ihn in Ihrer Bot-Umgebungsvariable."
"docs.stepApi2Title","Secret speichern"
"docs.stepApi3Body","Mit wait=25 warten, bis E-Mail eintrifft, statt voller Polling alle 2.5s."
"docs.stepApi3Title","Long-Poll verwenden"
"docs.stepApi4Body","Nur neue E-Mails mit after_id lesen."
"docs.stepApi4Title","Cursor beibehalten"
"docs.stepBulk1Body","Z.B. setzt gork Adressen als gork_0, gork_1 fort."
"docs.stepBulk1Title","Präfix eingeben"
"docs.stepBulk2Body","Atomare Generierung zwischen 1–100; Kollisionen werden übersprungen."
"docs.stepBulk2Title","Domain und Anzahl wählen"
"docs.stepBulk3Body","E-Mails und OTPs über alle Empfänger in einem Stream im Massen-Posteingang-Popup scannen."
"docs.stepBulk3Title","Pool öffnen"
"docs.stepBulk4Body","Derselbe Pool generiert ab dem nächsten leeren Index weiter."
"docs.stepBulk4Title","Weiter"
"docs.stepMail1Body","Aktive Domain und registrierter Empfänger werden verifiziert; E-Mail und Anhänge werden dauerhaft gespeichert."
"docs.stepMail1Title","SMTP empfängt"
"docs.stepMail2Body","BXS-AJ2, ABC-123, IRU-VO0 und klassische numerische Codes werden unterstützt."
"docs.stepMail2Title","OTP wird gescannt"
"docs.stepMail3Body","© 2026, Datum/Uhrzeit, Bestellung, Tracking- und Referenznummern sind Ablehnungssignale."
"docs.stepMail3Title","Falsche Kandidaten werden gefiltert"
"docs.stepMail4Body","Neue E-Mail-/OTP-Ereignisse werden an Socket.io-, SSE- und Webhook-Kanäle gesendet."
"docs.stepMail4Title","Ereignis veröffentlicht"
"docs.stepServer1Body","mail.domain.tld sollte auf die Server-IP zeigen und der MX-Eintrag auf diesen Hostnamen."
"docs.stepServer1Title","A- und MX-Einträge"
"docs.stepServer2Body","TCP 25 eingehend muss für SMTP offen sein; Cloudflare-Proxy muss aus bleiben."
"docs.stepServer2Title","Port-25-Zugriff"
"docs.stepServer3Body","SPF, DKIM, DMARC und PTR verbessern Zustellbarkeit."
"docs.stepServer3Title","Sicherheitseinträge"
"docs.stepServer4Body","Vor Bereitstellung mit einem DB-Kopie verifizieren; Migrationen laufen additiv."
"docs.stepServer4Title","Daten schützen"
"docs.stepStart1Body","Wählen Sie eine der aktiven Domains oder eine vom Administrator hinzugefügte Subdomain."
"docs.stepStart1Title","Domain wählen"
"docs.stepStart2Body","Einzelne Adresse oder präfixbasierten Pool mit Bulk-Studio erstellen."
"docs.stepStart2Title","Adresse erstellen"
"docs.stepStart3Body","Neue E-Mails über Posteingang, SSE oder Long-Poll sehen."
"docs.stepStart3Title","E-Mail empfangen"
"docs.stepStart4Body","Der Code wird aus Betreff, Text und HTML-Kontext erkannt; direkt kopieren."
"docs.stepStart4Title","OTP verwenden"
"docs.titleApi","Automatisierung mit API-Schlüssel"
"docs.titleBulk","Präfix-Pools"
"docs.titleMail","OTP, Posteingang und Echtzeit"
"docs.titleServer","SMTP, DNS und Bereitstellung"
"docs.titleStart","Schnellstart"
"docs.topics","THEMEN"
"domains.noneTitle","Keine aktiven Domains"
"domains.subdomainSupported","Subdomain unterstützt"
"emailView.attachments","Anhänge ({count})"
"emailView.copied","Kopiert"
"emailView.copy","Kopieren"
"emailView.date","Datum"
"emailView.noContent","Kein Inhalt"
"emailView.otpCode","Verifizierungscode"
"emailView.reply","Antworten"
"emailView.selectMail","E-Mail auswählen"
"emailView.selectMailHint","Wählen Sie links eine E-Mail aus der Liste, um deren Inhalt anzuzeigen."
"emailView.sender","Von"
"emailView.subject","Betreff"
"emailView.subtitle","Nachrichteninhalt und Anhänge"
"emailView.textMode","Text"
"emailView.title","E-Mail-Detail"
"errors.actionFailed","Aktion fehlgeschlagen"
"errors.addressCreateFailed","Adresse konnte nicht erstellt werden"
"errors.sessionExpired","Ihre Sitzung ist abgelaufen, bitte melden Sie sich erneut an"
"errors.wrongPassword","Falsches Passwort"
"inbox.confirmDelete","Diese E-Mail löschen?"
"inbox.copyOtp","OTP kopieren"
"inbox.createAddressFirst","Zuerst Adresse erstellen"
"inbox.delete","Löschen"
"inbox.filters","Filter"
"inbox.footerHint","Neue E-Mails werden in dieser Liste sofort angezeigt."
"inbox.footerTitle","Ihre E-Mails erscheinen hier"
"inbox.live","Live"
"inbox.mailsWillAppear","Eingehende E-Mails werden hier angezeigt."
"inbox.noMails","Noch keine E-Mails"
"inbox.noMailsHint","Neue Nachrichten erscheinen hier in Echtzeit."
"inbox.noResults","Keine Ergebnisse gefunden"
"inbox.noSubject","(Kein Betreff)"
"inbox.otpBadge","OTP"
"inbox.refresh","Aktualisieren"
"inbox.searchPlaceholder","Suchen..."
"inbox.subtitle","Live-Nachrichtenstrom"
"inbox.title","Posteingang"
"inbox.waiting","Wartend"
"inbox.yesterday","Gestern"
"nav.admin","Admin"
"nav.learn","Ressourcen"
"nav.mailbox","Postfach"
"nav.scale","Skalierung"
